Window_type,energy_exact,error,error_rel,w
2,2.1058073174506586,0.003976582128468742,0.00188838840833875,"(1, 1, 1)"
2,2.1058073174506586,0.002241136001737143,0.0010642645142150595,"(2, 2, 2)"
2,2.1058073174506586,0.0003617078783877403,0.00017176684466346743,"(3, 3, 3)"
2,2.1058073174506586,5.595218362053345e-5,2.6570419409630752e-5,"(4, 4, 4)"
2,2.1058073174506586,8.692489247064117e-6,4.127865439078944e-6,"(5, 5, 5)"
2,2.1058073174506586,1.3683254529439637e-6,6.497866360349111e-7,"(6, 6, 6)"
2,2.1058073174506586,2.1943357841891498e-7,1.0420401553384598e-7,"(7, 7, 7)"
2,2.1058073174506586,3.600346110133046e-8,1.709722480445985e-8,"(8, 8, 8)"
2,2.1058073174506586,6.0667972867634035e-9,2.8809840465878975e-9,"(9, 9, 9)"
2,2.1058073174506586,1.0535989858340145e-9,5.003301950292048e-10,"(10, 10, 10)"
2,2.1058073174506586,1.8919932287531083e-10,8.984645523236196e-11,"(11, 11, 11)"
2,2.1058073174506586,3.523670244476307e-11,1.6733108557824498e-11,"(12, 12, 12)"
2,2.1058073174506586,6.8256511553954624e-12,3.241346489221417e-12,"(13, 13, 13)"
2,2.1058073174506586,1.3771206397450442e-12,6.539632702066112e-13,"(14, 14, 14)"
2,2.1058073174506586,2.9176661087149114e-13,1.3855332748330977e-13,"(15, 15, 15)"
2,2.1058073174506586,6.705747068735946e-14,3.184406765598139e-14,"(16, 16, 16)"
2,2.1058073174506586,2.398081733190338e-14,1.1387944724655597e-14,"(17, 17, 17)"
2,2.1058073174506586,9.325873406851315e-15,4.4286451706993985e-15,"(18, 18, 18)"
2,2.1058073174506586,2.6645352591003757e-15,1.2653271916283997e-15,"(19, 19, 19)"
2,2.1058073174506586,4.440892098500626e-16,2.1088786527139993e-16,"(20, 20, 20)"
2,2.1058073174506586,2.6645352591003757e-15,1.2653271916283997e-15,"(21, 21, 21)"
2,2.1058073174506586,4.440892098500626e-15,2.1088786527139993e-15,"(22, 22, 22)"
2,2.1058073174506586,3.9968028886505635e-15,1.8979907874425995e-15,"(23, 23, 23)"
2,2.1058073174506586,7.549516567451064e-15,3.585093709613799e-15,"(24, 24, 24)"
