k_max,energy_exact,error,error_rel,M_mid
5,2.106668815560066,0.9466629068283736,0.38992441783476905,1
10,2.106668815560066,0.3845995154031192,0.15841408917724037,1
15,2.106668815560066,0.131316345883832,0.05408836593428009,1
20,2.106668815560066,0.036639915847689775,0.015091747815799344,1
25,2.106668815560066,0.008640854714344837,0.003559112984973613,1
30,2.106668815560066,0.0016964967264430086,0.0006987761891222068,1
5,1.8271216603539975,0.7160711429431454,0.29494513995043864,2
10,1.8271216603539975,0.24257627941631488,0.09991562344913871,2
15,1.8271216603539975,0.06543345495691644,0.026951623061342612,2
20,1.8271216603539975,0.013486334192428062,0.005554935099681714,2
25,1.8271216603539975,0.0022162264059539805,0.0009128495316531056,2
30,1.8271216603539975,0.00028352790822050444,0.00011678333835132841,2
5,1.583720175356651,0.5275265703879004,0.2172848321901834,3
10,1.583720175356651,0.14271110213167515,0.05878179340910863,3
15,1.583720175356651,0.028636337348615593,0.011795124842261666,3
20,1.583720175356651,0.004011495937761955,0.0016523096097837827,3
25,1.583720175356651,0.0004128071510407505,0.00017003263451704706,3
30,1.583720175356651,3.0132776269065076e-5,1.2411498496149153e-5,3
5,1.3716483121313257,0.3763794781180392,0.15502830820933136,4
10,1.3716483121313257,0.07697237417991687,0.0317044303468261,4
15,1.3716483121313257,0.010627167672562443,0.004377262632840902,4
20,1.3716483121313257,0.0009060859908838204,0.0003732110447712582,4
25,1.3716483121313257,5.046754133797293e-5,2.078725862587207e-5,4
30,1.3716483121313257,1.7574925634811223e-6,7.238999856456327e-7,4
5,1.186611052593404,0.2582535814661645,0.10637300424531657,5
10,1.186611052593404,0.037231161835899806,0.015335278270079343,5
15,1.186611052593404,0.003192199813655039,0.0013148467579889678,5
20,1.186611052593404,0.0001428802460281542,5.8851462702041906e-5,5
25,1.186611052593404,3.5278737067212518e-6,1.453108695149566e-6,5
30,1.186611052593404,4.604889825010616e-8,1.8967247699883144e-8,5
5,1.0247838345412705,0.1688902706005443,0.06956482605039156,6
10,1.0247838345412705,0.01569800717178982,0.006465909103942419,6
15,1.0247838345412705,0.0007289304041018241,0.0003002417876641238,6
20,1.0247838345412705,1.4029082934685633e-5,5.778489847447598e-6,6
25,1.0247838345412705,1.1705714020315838e-7,4.821508999443078e-8,6
30,1.0247838345412705,4.144220522306341e-10,1.7069780202470372e-10,6
5,0.8828165425829863,0.10404441042307522,0.04285522953371033,7
10,0.8828165425829863,0.005559170005016489,0.002289786694096754,7
15,0.8828165425829863,0.00011615347129945164,4.784287453246263e-5,7
20,0.8828165425829863,7.340479866169147e-7,3.023496872855461e-7,7
25,0.8828165425829863,1.4382925961342607e-9,5.924235534934568e-10,7
30,0.8828165425829863,8.970602038971265e-13,3.694933806366421e-13,7
5,0.75787694012329,0.05945483144555064,0.024489066141337282,8
10,0.75787694012329,0.001573190183056794,0.0006479870097867961,8
15,0.75787694012329,1.1490063858032862e-5,4.732684072029494e-6,8
20,0.75787694012329,1.657413750688619e-8,6.82678160501504e-9,8
25,0.75787694012329,4.714784118675652e-12,1.9419895291455792e-12,8
30,0.75787694012329,7.771561172376096e-16,3.2010565154164536e-16,8
5,0.6476699370595229,0.030880744593399734,0.012719581881820367,9
10,0.6476699370595229,0.00033236631604915967,0.00013689956726787756,9
15,0.6476699370595229,6.018982828814856e-7,2.479180665635394e-7,9
20,0.6476699370595229,1.216258205261056e-10,5.009690030129783e-11,9
25,0.6476699370595229,1.7763568394002505e-15,7.316700606666179e-16,9
30,0.6476699370595229,8.881784197001252e-16,3.6583503033330897e-16,9
5,0.5503691644019543,0.014197039367641828,0.00584767003172403,10
10,0.5503691644019543,4.774234978877079e-5,1.966476959556772e-5,10
15,0.5503691644019543,1.3474913740374461e-8,5.5502310882682646e-9,10
20,0.5503691644019543,1.9828583219805296e-13,8.167267052191124e-14,10
25,0.5503691644019543,9.992007221626409e-16,4.1156440912497263e-16,10
30,0.5503691644019543,9.992007221626409e-16,4.1156440912497263e-16,10
5,0.4644801856608951,0.005580733889290257,0.002298668720593256,11
10,0.4644801856608951,4.102171163422597e-6,1.6896581573213826e-6,11
15,0.4644801856608951,9.672607159671998e-11,3.9840852414039894e-11,11
20,0.4644801856608951,9.992007221626409e-16,4.1156440912497263e-16,11
25,0.4644801856608951,9.992007221626409e-16,4.1156440912497263e-16,11
30,0.4644801856608951,9.992007221626409e-16,4.1156440912497263e-16,11
5,0.3887236513311933,0.0017921560614519438,0.0007381776595345069,12
10,0.3887236513311933,1.7703941951330293e-7,7.292140854954332e-8,12
15,0.3887236513311933,1.5060175329040248e-13,6.203190233089171e-14,12
20,0.3887236513311933,1.0547118733938987e-15,4.344290985208044e-16,12
25,0.3887236513311933,1.0547118733938987e-15,4.344290985208044e-16,12
30,0.3887236513311933,1.0547118733938987e-15,4.344290985208044e-16,12
5,0.32200398014682324,0.0004423326734345201,0.00018219400901225082,13
10,0.32200398014682324,3.0273320517082425e-9,1.246938777615886e-9,13
15,0.32200398014682324,1.1102230246251565e-15,4.572937879166363e-16,13
20,0.32200398014682324,1.1102230246251565e-15,4.572937879166363e-16,13
25,0.32200398014682324,1.1102230246251565e-15,4.572937879166363e-16,13
30,0.32200398014682324,1.1102230246251565e-15,4.572937879166363e-16,13
5,0.26344552021418943,7.723892680638889e-5,3.181422167481596e-5,14
10,0.26344552021418943,1.4918899449156697e-11,6.144999598576778e-12,14
15,0.26344552021418943,1.1657341758564144e-15,4.80158477312468e-16,14
20,0.26344552021418943,1.1657341758564144e-15,4.80158477312468e-16,14
25,0.26344552021418943,1.1657341758564144e-15,4.80158477312468e-16,14
30,0.26344552021418943,1.1657341758564144e-15,4.80158477312468e-16,14
5,0.21242332003620834,8.518426255488265e-6,3.508685483059554e-6,15
10,0.21242332003620834,1.2934098236883074e-14,5.327472629228812e-15,15
15,0.21242332003620834,1.1657341758564144e-15,4.80158477312468e-16,15
20,0.21242332003620834,1.1657341758564144e-15,4.80158477312468e-16,15
25,0.21242332003620834,1.1657341758564144e-15,4.80158477312468e-16,15
30,0.21242332003620834,1.1657341758564144e-15,4.80158477312468e-16,15
5,0.16853943609960167,5.075322499770163e-7,2.0904929904530097e-7,16
10,0.16853943609960167,1.1379786002407855e-15,4.687261326145521e-16,16
15,0.16853943609960167,1.1379786002407855e-15,4.687261326145521e-16,16
20,0.16853943609960167,1.1379786002407855e-15,4.687261326145521e-16,16
25,0.16853943609960167,1.1379786002407855e-15,4.687261326145521e-16,16
30,0.16853943609960167,1.1379786002407855e-15,4.687261326145521e-16,16
5,0.13154487799813536,1.3183011432493785e-8,5.429998388070544e-9,17
10,0.13154487799813536,1.1379786002407855e-15,4.687261326145521e-16,17
15,0.13154487799813536,1.1379786002407855e-15,4.687261326145521e-16,17
20,0.13154487799813536,1.1379786002407855e-15,4.687261326145521e-16,17
25,0.13154487799813536,1.1379786002407855e-15,4.687261326145521e-16,17
30,0.13154487799813536,1.1379786002407855e-15,4.687261326145521e-16,17
5,0.10120105237383044,1.1173806324649149e-10,4.602419609673348e-11,18
10,0.10120105237383044,1.124100812432971e-15,4.630099602655942e-16,18
15,0.10120105237383044,1.124100812432971e-15,4.630099602655942e-16,18
20,0.10120105237383044,1.124100812432971e-15,4.630099602655942e-16,18
25,0.10120105237383044,1.124100812432971e-15,4.630099602655942e-16,18
30,0.10120105237383044,1.124100812432971e-15,4.630099602655942e-16,18
5,0.07708081392480405,2.0954071811019048e-13,8.630848629691613e-14,19
10,0.07708081392480405,1.1518563880486e-15,4.744423049635101e-16,19
15,0.07708081392480405,1.1518563880486e-15,4.744423049635101e-16,19
20,0.07708081392480405,1.1518563880486e-15,4.744423049635101e-16,19
25,0.07708081392480405,1.1518563880486e-15,4.744423049635101e-16,19
30,0.07708081392480405,1.1518563880486e-15,4.744423049635101e-16,19
5,0.0584201016490038,1.061650767297806e-15,4.372871846952834e-16,20
10,0.0584201016490038,1.1449174941446927e-15,4.715842187890312e-16,20
15,0.0584201016490038,1.1449174941446927e-15,4.715842187890312e-16,20
20,0.0584201016490038,1.1449174941446927e-15,4.715842187890312e-16,20
25,0.0584201016490038,1.1449174941446927e-15,4.715842187890312e-16,20
30,0.0584201016490038,1.1449174941446927e-15,4.715842187890312e-16,20
5,0.04419338144776627,1.1518563880486e-15,4.744423049635101e-16,21
10,0.04419338144776627,1.1518563880486e-15,4.744423049635101e-16,21
15,0.04419338144776627,1.1518563880486e-15,4.744423049635101e-16,21
20,0.04419338144776627,1.1518563880486e-15,4.744423049635101e-16,21
25,0.04419338144776627,1.1518563880486e-15,4.744423049635101e-16,21
30,0.04419338144776627,1.1518563880486e-15,4.744423049635101e-16,21
5,0.03340842828038812,1.1379786002407855e-15,4.687261326145521e-16,22
10,0.03340842828038812,1.1379786002407855e-15,4.687261326145521e-16,22
15,0.03340842828038812,1.1379786002407855e-15,4.687261326145521e-16,22
20,0.03340842828038812,1.1379786002407855e-15,4.687261326145521e-16,22
25,0.03340842828038812,1.1379786002407855e-15,4.687261326145521e-16,22
30,0.03340842828038812,1.1379786002407855e-15,4.687261326145521e-16,22
5,0.025351088294534765,1.1449174941446927e-15,4.715842187890312e-16,23
10,0.025351088294534765,1.1449174941446927e-15,4.715842187890312e-16,23
15,0.025351088294534765,1.1449174941446927e-15,4.715842187890312e-16,23
20,0.025351088294534765,1.1449174941446927e-15,4.715842187890312e-16,23
25,0.025351088294534765,1.1449174941446927e-15,4.715842187890312e-16,23
30,0.025351088294534765,1.1449174941446927e-15,4.715842187890312e-16,23
5,0.019548674224416758,1.141448047192739e-15,4.701551757017917e-16,24
10,0.019548674224416758,1.141448047192739e-15,4.701551757017917e-16,24
15,0.019548674224416758,1.141448047192739e-15,4.701551757017917e-16,24
20,0.019548674224416758,1.141448047192739e-15,4.701551757017917e-16,24
25,0.019548674224416758,1.141448047192739e-15,4.701551757017917e-16,24
30,0.019548674224416758,1.141448047192739e-15,4.701551757017917e-16,24
5,0.015565876682619807,1.1050188541972261e-15,4.55150223285777e-16,25
10,0.015565876682619807,1.1050188541972261e-15,4.55150223285777e-16,25
