extra_pad_ratio,M_mid,error,error_rel
0,18,0.00108495,0.000421358
1,18,0.000142649,5.54E-05
2,18,1.11E-05,4.30E-06
3,18,4.72E-07,1.83E-07
4,18,1.04E-08,4.05E-09
5,18,1.15E-10,4.48E-11
6,18,6.41E-13,2.49E-13
7,18,1.02E-14,3.97E-15
8,18,1.42E-14,5.52E-15
9,18,1.87E-14,7.24E-15
10,18,2.09E-14,8.11E-15
11,18,2.13E-14,8.28E-15
12,18,4.00E-15,1.55E-15
13,18,1.91E-14,7.42E-15
14,18,1.38E-14,5.35E-15
15,18,1.47E-14,5.69E-15
16,18,6.66E-15,2.59E-15
17,18,2.35E-14,9.14E-15
18,18,1.15E-14,4.48E-15
19,18,1.95E-14,7.59E-15
20,18,8.44E-15,3.28E-15
21,18,1.73E-14,6.73E-15
22,18,1.60E-14,6.21E-15
23,18,2.00E-14,7.76E-15
24,18,4.88E-15,1.90E-15
25,18,2.09E-14,8.11E-15
26,18,1.91E-14,7.42E-15
27,18,1.87E-14,7.24E-15
28,18,8.88E-15,3.45E-15
29,18,2.09E-14,8.11E-15
30,18,2.00E-14,7.76E-15
0,24,0.001792318,0.000696076
1,24,0.000878143,0.000341041
2,24,0.000466038,0.000180993
3,24,0.000237078,9.21E-05
4,24,0.000109953,4.27E-05
5,24,4.56E-05,1.77E-05
6,24,1.67E-05,6.48E-06
7,24,5.38E-06,2.09E-06
8,24,1.52E-06,5.91E-07
9,24,3.76E-07,1.46E-07
10,24,8.09E-08,3.14E-08
11,24,1.51E-08,5.88E-09
12,24,2.46E-09,9.55E-10
13,24,3.47E-10,1.35E-10
14,24,4.23E-11,1.64E-11
15,24,4.50E-12,1.75E-12
16,24,4.17E-13,1.62E-13
17,24,5.86E-14,2.28E-14
18,24,1.60E-14,6.21E-15
19,24,2.35E-14,9.14E-15
20,24,8.88E-15,3.45E-15
21,24,1.95E-14,7.59E-15
22,24,1.78E-14,6.90E-15
23,24,2.35E-14,9.14E-15
24,24,4.44E-15,1.72E-15
25,24,2.40E-14,9.31E-15
26,24,2.22E-14,8.62E-15
27,24,2.04E-14,7.93E-15
28,24,9.33E-15,3.62E-15
29,24,2.31E-14,8.97E-15
30,24,2.31E-14,8.97E-15
0,30,0.002575666,0.001000302
1,30,0.001684626,0.000654252
2,30,0.001258704,0.000488838
3,30,0.000973803,0.000378192
4,30,0.000755437,0.000293386
5,30,0.000581217,0.000225725
6,30,0.00044153,0.000171476
7,30,0.00033049,0.000128351
8,30,0.000243475,9.46E-05
9,30,0.00017643,6.85E-05
10,30,0.000125693,4.88E-05
11,30,8.80E-05,3.42E-05
12,30,6.05E-05,2.35E-05
13,30,4.09E-05,1.59E-05
14,30,2.71E-05,1.05E-05
15,30,1.76E-05,6.84E-06
16,30,1.12E-05,4.35E-06
17,30,7.00E-06,2.72E-06
18,30,4.27E-06,1.66E-06
19,30,2.55E-06,9.92E-07
20,30,1.49E-06,5.79E-07
21,30,8.51E-07,3.31E-07
22,30,4.75E-07,1.84E-07
23,30,2.58E-07,1.00E-07
24,30,1.37E-07,5.32E-08
25,30,7.09E-08,2.75E-08
26,30,3.57E-08,1.39E-08
27,30,1.76E-08,6.82E-09
28,30,8.40E-09,3.26E-09
29,30,3.91E-09,1.52E-09
30,30,1.77E-09,6.88E-10
