Window_type,energy_exact,error,error_rel,w,
3,202.5349095,9.497849364,0.046894875,3,7
3,202.5349095,0.153954238,0.000760137,5,11
3,202.5349095,0.000557871,2.75E-06,7,15
3,202.5349095,2.67E-06,1.32E-08,9,19
3,202.5349095,2.18E-08,1.08E-10,11,23
3,202.5349095,1.23E-10,6.06E-13,13,27
3,202.5349095,1.51E-12,7.44E-15,15,31
3,202.5349095,1.17E-12,5.75E-15,17,35
3,202.5349095,1.53E-12,7.58E-15,19,39
3,202.5349095,2.87E-12,1.42E-14,21,43
3,202.5349095,3.69E-13,1.82E-15,23,47
3,202.5349095,1.36E-12,6.74E-15,25,51
