N_z,M_mid,E_exact,E_FFCT,abs_error,relative_error
3,1,17.233325049862405,8.340187097804886,8.893137952057518,0.4287569684282399
6,1,17.233325049862405,14.635340891873486,2.5979841579889182,0.12525430479195582
9,1,17.233325049862405,16.691019038504557,0.542306011357848,0.026145718490334025
12,1,17.233325049862405,17.058144688711646,0.1751803611507583,0.008445815299400132
15,1,17.233325049862405,17.188436367962606,0.04488868189979911,0.002164178186805776
18,1,17.233325049862405,17.22333602202808,0.00998902783432598,0.0004815921348437004
21,1,17.233325049862405,17.232027377179623,0.001297672682781581,6.256354151718135e-5
24,1,17.233325049862405,17.232982175112806,0.00034287474959882047,1.6530716039839444e-5
27,1,17.233325049862405,17.233286099210126,3.895065227865757e-5,1.8778932340115038e-6
30,1,17.233325049862405,17.233319006649925,6.043212479767135e-6,2.913560406192948e-7
33,1,17.233325049862405,17.233324390814886,6.590475187806533e-7,3.177407319282286e-8
36,1,17.233325049862405,17.23332502861126,2.12511430675022e-8,1.0245625027270598e-9
39,1,17.233325049862405,17.233325050393702,5.312976725235785e-10,2.56149832187733e-11
42,1,17.233325049862405,17.233325049457957,4.0444803062200663e-10,1.949929399848603e-11
45,1,17.233325049862405,17.23332504982155,4.085620730620576e-11,1.969764067590075e-12
48,1,17.233325049862405,17.23332504985762,4.785505325344275e-12,2.307193216559853e-13
51,1,17.233325049862405,17.23332504986254,1.3500311979441904e-13,6.508785614645466e-15
54,1,17.233325049862405,17.233325049862312,9.237055564881302e-14,4.4533796310732136e-15
57,1,17.233325049862405,17.23332504986233,7.460698725481052e-14,3.596960471251442e-15
60,1,17.233325049862405,17.23332504986233,7.460698725481052e-14,3.596960471251442e-15
3,6,5.483403436548866,-1.3510057305442686,6.834409167093135,0.32950130440775066
6,6,5.483403436548866,5.373566978388217,0.10983645816064946,0.005295447689862924
9,6,5.483403436548866,5.470115696611399,0.01328773993746779,0.0006406300142384986
12,6,5.483403436548866,5.482878864437538,0.0005245721113285029,2.5290729705050165e-5
15,6,5.483403436548866,5.48338302497835,2.041157051646536e-5,9.84084936349622e-7
18,6,5.483403436548866,5.483403544315996,1.0776712944249311e-7,5.195680980669692e-9
21,6,5.483403436548866,5.48340342943407,7.1147967517504185e-9,3.4301938221455673e-10
24,6,5.483403436548866,5.483403436803122,2.5425528349387605e-10,1.2258184360276967e-11
27,6,5.483403436548866,5.48340343653303,1.5836221223253233e-11,7.634976809811096e-13
30,6,5.483403436548866,5.483403436548833,3.375077994860476e-14,1.6271964036613665e-15
33,6,5.483403436548866,5.483403436548961,9.414691248821327e-14,4.53902154705539e-15
36,6,5.483403436548866,5.483403436548945,7.815970093361102e-14,3.768244303215796e-15
39,6,5.483403436548866,5.483403436548948,8.171241461241152e-14,3.9395281351801505e-15
42,6,5.483403436548866,5.483403436548947,8.08242361927114e-14,3.896707177189061e-15
45,6,5.483403436548866,5.48340343654895,8.348877145181177e-14,4.025170051162327e-15
48,6,5.483403436548866,5.483403436548947,8.08242361927114e-14,3.896707177189061e-15
51,6,5.483403436548866,5.483403436548947,8.08242361927114e-14,3.896707177189061e-15
54,6,5.483403436548866,5.483403436548948,8.171241461241152e-14,3.9395281351801505e-15
57,6,5.483403436548866,5.483403436548946,7.993605777301127e-14,3.853886219197973e-15
60,6,5.483403436548866,5.483403436548946,7.993605777301127e-14,3.853886219197973e-15
