Window_type,energy_exact,error,error_rel,N_real
1,202.53490948359013,0.9939358112152661,0.004907478981028686,12
1,202.53490948359013,0.05194300359983117,0.00025646444720207466,16
1,202.53490948359013,0.0009406836762764215,4.644550802006989e-6,20
1,202.53490948359013,1.770996161098992e-5,8.744152628376801e-8,24
1,202.53490948359013,3.909411816493957e-8,1.9302409774502144e-10,28
1,202.53490948359013,7.653966349607799e-11,3.779084982990521e-13,32
1,202.53490948359013,1.7337242752546445e-12,8.560125657720824e-15,36
1,202.53490948359013,5.684341886080802e-14,2.8065985763019093e-16,40
1,202.53490948359013,5.684341886080802e-14,2.8065985763019093e-16,44
1,202.53490948359013,1.1937117960769683e-12,5.89385701023401e-15,48
1,202.53490948359013,4.831690603168681e-13,2.385608789856623e-15,52
1,202.53490948359013,1.7053025658242404e-12,8.419795728905728e-15,56
1,202.53490948359013,6.252776074688882e-13,3.0872584339321003e-15,60
1,202.53490948359013,2.8421709430404007e-13,1.4032992881509547e-15,64
