Window_type,energy_exact,error,error_rel,w
1,18.84581385073342,0.023695430864723477,0.0012573312594723164,"(1, 1, 1)"
1,18.84581385073342,0.00013088536963934416,6.9450632737864225e-6,"(2, 2, 2)"
1,18.84581385073342,1.8435490218848827e-6,9.782273328637051e-8,"(3, 3, 3)"
1,18.84581385073342,2.2643334318672714e-8,1.2015047213146226e-9,"(4, 4, 4)"
1,18.84581385073342,2.3424462369803223e-10,1.2429530799430885e-11,"(5, 5, 5)"
1,18.84581385073342,9.201528428093297e-13,4.882531739394848e-14,"(6, 6, 6)"
1,18.84581385073342,1.7053025658242404e-13,9.048707470693155e-15,"(7, 7, 7)"
1,18.84581385073342,5.897504706808832e-13,3.129344666948049e-14,"(8, 8, 8)"
1,18.84581385073342,3.588240815588506e-13,1.903998863625018e-14,"(9, 9, 9)"
1,18.84581385073342,6.536993168992922e-13,3.468671197099043e-14,"(10, 10, 10)"
1,18.84581385073342,2.913225216616411e-13,1.5458208595767473e-14,"(11, 11, 11)"
1,18.84581385073342,4.156675004196586e-13,2.2056224459814565e-14,"(12, 12, 12)"
