Window_type,energy_exact,error,error_rel,N_real
1,17.929725787465706,0.010557221957000706,0.0005888111219403611,"(16, 16, 16)"
1,17.929725787465706,0.0003393393424566682,1.892607541683059e-5,"(20, 20, 20)"
1,17.929725787465706,6.4390378113898805e-6,3.591263964500381e-7,"(24, 24, 24)"
1,17.929725787465706,8.785144700595993e-8,4.899765230507598e-9,"(28, 28, 28)"
1,17.929725787465706,9.430749514649506e-10,5.259840349171622e-11,"(32, 32, 32)"
1,17.929725787465706,5.186961971048731e-13,2.8929399325642934e-14,"(40, 40, 40)"
1,17.929725787465706,6.359357485052897e-13,3.546823615952113e-14,"(46, 46, 46)"
1,17.929725787465706,6.252776074688882e-13,3.4873796447350384e-14,"(54, 54, 54)"
1,17.929725787465706,6.608047442568932e-13,3.6855262154586207e-14,"(64, 64, 64)"
1,17.929725787465706,6.288303211476887e-13,3.507194301807397e-14,"(78, 78, 78)"
1,17.929725787465706,6.004086117172847e-13,3.3486770452285315e-14,"(92, 92, 92)"
1,17.929725787465706,6.110667527536862e-13,3.408121016445606e-14,"(108, 108, 108)"
1,17.929725787465706,1.1390000054234406e-11,6.352579057398031e-13,"(128, 128, 128)"
