Rz,M_mid,energy_exact,energy_ffct,error,error_rel
1,1,166.05167919834435,22.470603946270305,143.58107525207404,0.48996571701904545
5,1,166.05167919834435,128.73941279480434,37.31226640354001,0.12732688712576026
9,1,166.05167919834435,160.85684877241903,5.194830425925318,0.01772718869783004
13,1,166.05167919834435,165.2113424255633,0.8403367727810576,0.002867621716095165
17,1,166.05167919834435,165.90871891179276,0.14296028655158466,0.00048784729590944866
21,1,166.05167919834435,166.03754311356806,0.014136084776282587,4.8238926342441225e-5
25,1,166.05167919834435,166.05091657537298,0.00076262297136509,2.602425913889329e-6
29,1,166.05167919834435,166.05155324100983,0.00012595733451803426,4.2982527894145256e-7
33,1,166.05167919834435,166.05167336218472,5.836159630234761e-6,1.991570360401153e-8
37,1,166.05167919834435,166.05167910945494,8.888940783435828e-8,3.0333219310760513e-10
41,1,166.05167919834435,166.05167918729757,1.1046779491152847e-8,3.769677323165057e-11
45,1,166.05167919834435,166.05167919863612,2.9177726901252754e-10,9.956803748028546e-13
49,1,166.05167919834435,166.0516791983625,1.816147232602816e-11,6.19754295245494e-14
53,1,166.05167919834435,166.05167919834358,7.673861546209082e-13,2.6186801207556086e-15
57,1,166.05167919834435,166.0516791983442,1.4210854715202004e-13,4.849407631028905e-16
61,1,166.05167919834435,166.0516791983439,4.547473508864641e-13,1.5518104419292495e-15
1,3,104.58856911741812,16.875711105072675,87.71285801234544,0.29931725537198023
5,3,104.58856911741812,87.81004981518703,16.77851930223109,0.057256147622538424
9,3,104.58856911741812,103.68391524023754,0.9046538771805785,0.0030871017284740585
13,3,104.58856911741812,104.49922772559523,0.08934139182288448,0.00030487457366598007
17,3,104.58856911741812,104.58559986009915,0.0029692573189663563,1.0132493357827699e-5
21,3,104.58856911741812,104.58829483431862,0.0002742830995003942,9.359820942765614e-7
25,3,104.58856911741812,104.58857115146432,2.0340462043577645e-6,6.94111605737974e-9
29,3,104.58856911741812,104.58856905448756,6.29305532129365e-8,2.1474845186421064e-10
33,3,104.58856911741812,104.58856911942506,2.006942168009118e-9,6.8486244209968805e-12
37,3,104.58856911741812,104.58856911738282,3.529976311256178e-11,1.2045928555475798e-13
41,3,104.58856911741812,104.58856911742191,3.794298208958935e-12,1.2947918374847175e-14
45,3,104.58856911741812,104.58856911741674,1.3784529073745944e-12,4.703925402098038e-15
49,3,104.58856911741812,104.58856911741697,1.1510792319313623e-12,3.928020181133413e-15
53,3,104.58856911741812,104.58856911741695,1.1652900866465643e-12,3.976514257443701e-15
57,3,104.58856911741812,104.58856911741692,1.1937117960769683e-12,4.0735024100642795e-15
61,3,104.58856911741812,104.5885691174168,1.3216094885137863e-12,4.5099490968568816e-15
1,5,60.897155401597864,13.32838115413236,47.568774247465505,0.16232688424263536
5,5,60.897155401597864,54.84972179021655,6.047433611381315,0.020636669145453555
9,5,60.897155401597864,60.8536511888124,0.04350421278546435,0.00014845670136790022
13,5,60.897155401597864,60.892132353102625,0.0050230484952393795,1.7140988485220643e-5
17,5,60.897155401597864,60.89724260339058,8.720179271648476e-5,2.9757326178723857e-7
21,5,60.897155401597864,60.89715370503534,1.6965625206921686e-6,5.789464039457874e-9
25,5,60.897155401597864,60.89715541003015,8.432287756932055e-9,2.8774905813198057e-11
29,5,60.897155401597864,60.897155402344,7.461338213943236e-10,2.546157229633571e-12
33,5,60.897155401597864,60.897155401605005,7.140954494389007e-12,2.4368273345920246e-14
37,5,60.897155401597864,60.897155401597104,7.602807272633072e-13,2.594433082600464e-15
41,5,60.897155401597864,60.897155401597004,8.597567102697212e-13,2.9338916167724874e-15
45,5,60.897155401597864,60.89715540159692,9.450218385609332e-13,3.2248560746342214e-15
49,5,60.897155401597864,60.89715540159713,7.318590178329032e-13,2.4974449299798857e-15
53,5,60.897155401597864,60.89715540159698,8.810729923425242e-13,3.0066327312379208e-15
57,5,60.897155401597864,60.89715540159704,8.242295734817162e-13,2.8126564259967645e-15
61,5,60.897155401597864,60.897155401596905,9.592326932761353e-13,3.2733501509445105e-15
1,7,31.39401300686976,10.274155296208868,21.11985771066089,0.07207082276251933
5,7,31.39401300686976,29.874130107223202,1.5198828996465572,0.0051865506188953974
9,7,31.39401300686976,31.404604148618954,0.010591141749195288,3.6141924359351505e-5
