Q_0,M_mid,energy_exact,energy_fgt,error_rel
1,1,87.05908690289544,0.0,1.0
5,1,87.05908690289544,86.00014218878341,0.012163517351074026
9,1,87.05908690289544,86.86178156346921,0.002266338258823094
13,1,87.05908690289544,87.00347554384827,0.0006387771917388119
17,1,87.05908690289544,87.0639811782295,5.621785741345567e-5
21,1,87.05908690289544,87.05740167202416,1.9357323069194973e-5
25,1,87.05908690289544,87.05921361361112,1.455456520210381e-6
29,1,87.05908690289544,87.05908813909959,1.4199599211256892e-8
33,1,87.05908690289544,87.05908555146583,1.552313107315043e-8
37,1,87.05908690289544,87.05908686785502,4.0249019914426267e-10
41,1,87.05908690289544,87.0590869072917,5.04973801154577e-11
45,1,87.05908690289544,87.05908690293734,4.81208811058897e-13
49,1,87.05908690289544,87.05908690289517,3.1014136397961475e-15
53,1,87.05908690289544,87.05908690289529,1.795555265145138e-15
57,1,87.05908690289544,87.05908690289522,2.611716749302019e-15
61,1,87.05908690289544,87.059086902896,6.366059576423671e-15
1,3,83.96166551720789,0.0,1.0
5,3,83.96166551720789,82.94976005824822,0.012051993641696936
9,3,83.96166551720789,83.87698855983822,0.0010085192670732776
13,3,83.96166551720789,83.95039324024873,0.00013425504234252102
17,3,83.96166551720789,83.96244525252288,9.2868014252615e-6
21,3,83.96166551720789,83.96160441412634,7.277497554719191e-7
25,3,83.96166551720789,83.96166706365318,1.8418468482251006e-8
29,3,83.96166551720789,83.96166553908316,2.605387340552714e-10
33,3,83.96166551720789,83.96166551392169,3.913932970753298e-11
37,3,83.96166551720789,83.96166551724536,4.463230172144144e-13
41,3,83.96166551720789,83.96166551720744,5.4161306601673345e-15
45,3,83.96166551720789,83.96166551720776,1.5232867481720629e-15
49,3,83.96166551720789,83.96166551720812,2.7080653300836673e-15
53,3,83.96166551720789,83.96166551720776,1.5232867481720629e-15
57,3,83.96166551720789,83.9616655172077,2.2003030806929797e-15
61,3,83.96166551720789,83.96166551720849,7.108671491469627e-15
1,5,79.49334643724278,0.0,1.0
5,5,79.49334643724278,78.56192487995466,0.011716975055559435
9,5,79.49334643724278,79.46838010155169,0.00031406824357055004
13,5,79.49334643724278,79.4919760522851,1.7238989413576293e-5
17,5,79.49334643724278,79.49338506752613,4.859561848569688e-7
21,5,79.49334643724278,79.49334498737313,1.82388804597073e-8
25,5,79.49334643724278,79.49334643863675,1.7535696045002792e-11
29,5,79.49334643724278,79.49334643764045,5.002639543727909e-12
33,5,79.49334643724278,79.49334643724119,2.0021999317378712e-14
37,5,79.49334643724278,79.4933464372429,1.608910659432218e-15
41,5,79.49334643724278,79.49334643724197,1.018976750973738e-14
45,5,79.49334643724278,79.49334643724268,1.2513749573361695e-15
49,5,79.49334643724278,79.49334643724305,3.39658916991246e-15
53,5,79.49334643724278,79.49334643724269,1.0726071062881454e-15
57,5,79.49334643724278,79.49334643724261,2.1452142125762908e-15
61,5,79.49334643724278,79.49334643724343,8.223321148209114e-15
1,7,73.24642894038898,0.0,1.0
5,7,73.24642894038898,72.52508807746723,0.009848136944789584
9,7,73.24642894038898,73.24325515258805,4.333027352794662e-5
13,7,73.24642894038898,73.24628851746102,1.917130022408038e-6
17,7,73.24642894038898,73.24642919529866,3.4801652835541317e-9
21,7,73.24642894038898,73.24642893286983,1.0265548887091924e-10
25,7,73.24642894038898,73.2464289404085,2.665756496412733e-13
29,7,73.24642894038898,73.24642894039044,1.998347300804305e-14
33,7,73.24642894038898,73.24642894038898,0.0
37,7,73.24642894038898,73.24642894038901,3.880286020979233e-16
41,7,73.24642894038898,73.24642894038811,1.183487236398666e-14
45,7,73.24642894038898,73.24642894038881,2.3281716125875397e-15
49,7,73.24642894038898,73.2464289403892,2.9102145157344244e-15
53,7,73.24642894038898,73.24642894038881,2.3281716125875397e-15
57,7,73.24642894038898,73.24642894038877,2.9102145157344244e-15
61,7,73.24642894038898,73.24642894038956,7.954586343007428e-15
1,9,65.06713063525174,0.0,1.0
5,9,65.06713063525174,64.63227778926729,0.0066831415760764965
9,9,65.06713063525174,65.06775766763776,9.636699511703636e-6
13,9,65.06713063525174,65.06712426678105,9.787538855399683e-8
17,9,65.06713063525174,65.06713063419951,1.61714296644018e-11
21,9,65.06713063525174,65.06713063537053,1.8256304435840128e-12
25,9,65.06713063525174,65.06713063525093,1.244896940833697e-14
29,9,65.06713063525174,65.06713063525241,1.0264939687576098e-14
33,9,65.06713063525174,65.06713063525181,1.092014860380436e-15
37,9,65.06713063525174,65.06713063525176,2.184029720760872e-16
41,9,65.06713063525174,65.06713063525092,1.2667372380413056e-14
45,9,65.06713063525174,65.06713063525159,2.402432692836959e-15
49,9,65.06713063525174,65.0671306352519,2.402432692836959e-15
53,9,65.06713063525174,65.06713063525164,1.5288208045326103e-15
57,9,65.06713063525174,65.06713063525156,2.8392386369891335e-15
61,9,65.06713063525174,65.06713063525235,9.39132779927175e-15
