preset,Rz,E_thin_k,E_direct_k,error_rel
1,2,9.714170970735497,9.718340740535202,0.0004290619058368406
1,4,9.71834196037018,9.718340740535202,1.2551885249597775e-7
1,6,9.718340740615497,9.718340740535202,8.262200719065152e-12
1,8,9.718340740535263,9.718340740535202,6.2146547597056595e-15
1,10,9.718340740535293,9.718340740535202,9.321982139558488e-15
1,12,9.71834074053529,9.718340740535202,8.95641421251698e-15
1,14,9.718340740535282,9.718340740535202,8.225278358433961e-15
1,16,9.718340740535295,9.718340740535202,9.504766103079244e-15
1,18,9.718340740535284,9.718340740535202,8.408062321954714e-15
1,20,9.718340740535288,9.718340740535202,8.773630248996225e-15
2,2,10.594631297659532,10.608670177661917,0.001323340227123456
2,4,10.608670113641852,10.608670177661917,6.034692814559789e-9
2,6,10.608670178273169,10.608670177661917,5.761810704154625e-11
2,8,10.608670177662116,10.608670177661917,1.875371396046887e-14
2,10,10.608670177662116,10.608670177661917,1.875371396046887e-14
2,12,10.608670177662116,10.608670177661917,1.875371396046887e-14
2,14,10.608670177662113,10.608670177661917,1.841882621117478e-14
2,16,10.60867017766211,10.608670177661917,1.825138233652774e-14
2,18,10.608670177662113,10.608670177661917,1.841882621117478e-14
2,20,10.608670177662107,10.608670177661917,1.791649458723365e-14
3,2,15.509326276402284,15.534921523820758,0.001647594252679503
3,4,15.534927779534558,15.534921523820758,4.0268718382817144e-7
3,6,15.53492150664603,15.534921523820758,1.1055561105788793e-9
3,8,15.534921523825442,15.534921523820758,3.0153052130426116e-13
3,10,15.534921523820998,15.534921523820758,1.543671610772668e-14
3,12,15.534921523821014,15.534921523820758,1.646583051490846e-14
3,14,15.534921523821003,15.534921523820758,1.577975424345394e-14
3,16,15.534921523820996,15.534921523820758,1.5322370062484262e-14
3,18,15.534921523821009,15.534921523820758,1.61227923791812e-14
3,20,15.534921523821005,15.534921523820758,1.589410028869636e-14
4,2,20.04409274693402,20.09102459439176,0.0023359608783139244
4,4,20.091028660898374,20.09102459439176,2.0240414286624104e-7
4,6,20.091024585911242,20.09102459439176,4.2210487364605167e-10
4,8,20.091024594357393,20.09102459439176,1.7106619907433615e-12
4,10,20.091024594392028,20.09102459439176,1.3262316446738899e-14
4,12,20.091024594392042,20.09102459439176,1.3969639990564974e-14
4,14,20.091024594392024,20.09102459439176,1.308548556078238e-14
4,16,20.09102459439203,20.09102459439176,1.3439147332695417e-14
4,18,20.091024594392024,20.09102459439176,1.308548556078238e-14
4,20,20.09102459439204,20.09102459439176,1.3792809104608454e-14
5,2,28.034036189451232,28.099566322627176,0.0023320692007682614
5,4,28.099528694924537,28.099566322627176,1.3390848174316083e-6
5,6,28.09956614630043,28.099566322627176,6.27507004758349e-9
5,8,28.099566322938497,28.099566322627176,1.1079201130193887e-11
5,10,28.09956632262778,28.099566322627176,2.1493617319984946e-14
5,12,28.099566322627663,28.099566322627176,1.7321326899046693e-14
5,14,28.09956632262766,28.099566322627176,1.7194893855987957e-14
5,16,28.099566322627677,28.099566322627176,1.782705907128163e-14
5,18,28.099566322627666,28.099566322627176,1.7447759942105426e-14
5,20,28.09956632262766,28.099566322627176,1.7194893855987957e-14
6,2,29.554855043197673,29.731103894801528,0.005928096455062075
6,4,29.73122600561461,29.731103894801528,4.107173871267457e-6
6,6,29.73110416026329,29.731103894801528,8.928755620944857e-9
6,8,29.731103894920413,29.731103894801528,3.9986560288630275e-12
6,10,29.731103894732605,29.731103894801528,2.3182000107564393e-12
6,12,29.73110389484602,29.731103894801528,1.4964339553970562e-12
6,14,29.731103894844885,29.731103894801528,1.4583150995500818e-12
6,16,29.73110389481778,29.731103894801528,5.466889200624077e-13
6,18,29.731103894785875,29.731103894801528,5.264942911027253e-13
6,20,29.731103894807084,29.731103894801528,1.868899390114985e-13
