TaylorQ,gamma,E_exact,E_thin,error_rel
1,100,279.15475971718234,279.5162850227816,0.0012949301858286133
2,100,279.15475971718234,279.1359603386654,6.733659397928892e-5
3,100,279.15475971718234,279.1556434343537,3.1653442323128727e-6
4,100,279.15475971718234,279.1547203739972,1.4092147157491004e-7
5,100,279.15475971718234,279.1547613076326,5.696757677896948e-9
6,100,279.15475971718234,279.15475965979357,2.0555810460276292e-10
7,100,279.15475971718234,279.1547597190322,6.6259084325854884e-12
8,100,279.15475971718234,279.1547597171287,1.922028565393695e-13
9,100,279.15475971718234,279.15475971718416,6.515351069131169e-15
10,100,279.15475971718234,279.1547597171824,2.0360472091034904e-16
11,100,279.15475971718234,279.15475971718257,8.144188836413962e-16
12,100,279.15475971718234,279.15475971718257,8.144188836413962e-16
13,100,279.15475971718234,279.1547597171826,1.0180236045517452e-15
14,100,279.15475971718234,279.1547597171826,1.0180236045517452e-15
15,100,279.15475971718234,279.1547597171826,1.0180236045517452e-15
16,100,279.15475971718234,279.1547597171826,1.0180236045517452e-15
1,500,295.955350846526,295.954628307577,2.4413738897413483e-6
2,500,295.955350846526,295.9553651194999,4.822669535189967e-8
3,500,295.955350846526,295.9553507934071,1.7948258040557728e-10
4,500,295.955350846526,295.9553508466466,4.073745481865056e-13
5,500,295.955350846526,295.95535084652573,9.603360400436249e-16
6,500,295.955350846526,295.955350846526,0.0
7,500,295.955350846526,295.955350846526,0.0
8,500,295.955350846526,295.955350846526,0.0
9,500,295.955350846526,295.955350846526,0.0
10,500,295.955350846526,295.955350846526,0.0
11,500,295.955350846526,295.955350846526,0.0
12,500,295.955350846526,295.955350846526,0.0
13,500,295.955350846526,295.955350846526,0.0
14,500,295.955350846526,295.955350846526,0.0
15,500,295.955350846526,295.955350846526,0.0
16,500,295.955350846526,295.955350846526,0.0
1,1000,258.7378007882928,258.7380992414131,1.1534919967450178e-6
2,1000,258.7378007882928,258.7377999892135,3.088363074869872e-9
3,1000,258.7378007882928,258.7378007887766,1.869817599125188e-12
4,1000,258.7378007882928,258.7378007882924,1.5378596162467765e-15
5,1000,258.7378007882928,258.73780078829265,6.5908269267719e-16
6,1000,258.7378007882928,258.73780078829265,6.5908269267719e-16
7,1000,258.7378007882928,258.73780078829265,6.5908269267719e-16
8,1000,258.7378007882928,258.73780078829265,6.5908269267719e-16
9,1000,258.7378007882928,258.73780078829265,6.5908269267719e-16
10,1000,258.7378007882928,258.73780078829265,6.5908269267719e-16
11,1000,258.7378007882928,258.73780078829265,6.5908269267719e-16
12,1000,258.7378007882928,258.73780078829265,6.5908269267719e-16
13,1000,258.7378007882928,258.73780078829265,6.5908269267719e-16
14,1000,258.7378007882928,258.73780078829265,6.5908269267719e-16
15,1000,258.7378007882928,258.73780078829265,6.5908269267719e-16
16,1000,258.7378007882928,258.73780078829265,6.5908269267719e-16
