w,gamma,E_exact,E_thin,error_rel
3,100,279.1547597,279.1283798,9.45E-05
5,100,279.1547597,279.1544533,1.10E-06
7,100,279.1547597,279.1547392,7.36E-08
9,100,279.1547597,279.1547578,6.72E-09
11,100,279.1547597,279.1547596,5.96E-10
13,100,279.1547597,279.1547597,5.19E-11
15,100,279.1547597,279.1547597,4.59E-12
17,100,279.1547597,279.1547597,4.14E-13
19,100,279.1547597,279.1547597,3.20E-14
21,100,279.1547597,279.1547597,6.72E-15
23,100,279.1547597,279.1547597,7.74E-15
25,100,279.1547597,279.1547597,8.76E-15
27,100,279.1547597,279.1547597,1.45E-14
29,100,279.1547597,279.1547597,5.09E-15
31,100,279.1547597,279.1547597,6.72E-15
33,100,279.1547597,279.1547597,1.02E-15
3,500,295.9553508,295.9973327,0.000141852
5,500,295.9553508,295.9552381,3.81E-07
7,500,295.9553508,295.955334,5.69E-08
9,500,295.9553508,295.9553493,5.15E-09
11,500,295.9553508,295.9553507,4.24E-10
13,500,295.9553508,295.9553508,3.39E-11
15,500,295.9553508,295.9553508,2.65E-12
17,500,295.9553508,295.9553508,1.94E-13
19,500,295.9553508,295.9553508,6.53E-15
21,500,295.9553508,295.9553508,8.64E-15
23,500,295.9553508,295.9553508,9.41E-15
25,500,295.9553508,295.9553508,1.06E-14
27,500,295.9553508,295.9553508,1.67E-14
29,500,295.9553508,295.9553508,4.80E-15
31,500,295.9553508,295.9553508,8.45E-15
33,500,295.9553508,295.9553508,0
3,1000,258.7378008,258.7455366,2.99E-05
5,1000,258.7378008,258.7378732,2.80E-07
7,1000,258.7378008,258.7378046,1.49E-08
9,1000,258.7378008,258.7378013,1.99E-09
11,1000,258.7378008,258.7378008,2.28E-10
13,1000,258.7378008,258.7378008,2.20E-11
15,1000,258.7378008,258.7378008,1.89E-12
17,1000,258.7378008,258.7378008,1.52E-13
19,1000,258.7378008,258.7378008,1.69E-14
21,1000,258.7378008,258.7378008,9.89E-15
23,1000,258.7378008,258.7378008,8.35E-15
25,1000,258.7378008,258.7378008,8.13E-15
27,1000,258.7378008,258.7378008,1.49E-14
29,1000,258.7378008,258.7378008,4.83E-15
31,1000,258.7378008,258.7378008,7.47E-15
33,1000,258.7378008,258.7378008,6.59E-16
