preset,M_mid,E_exact,E_0
1,1,0.7204379897576693,0.012083827730917436
1,2,0.3202024895122586,0.010966281186698072
1,3,0.08955419381483778,0.006477329045694512
1,4,0.00882635352187808,0.003384030795784464
1,5,1.2542034437626533e-6,0.0018517275065727326
1,6,5.860953924202758e-23,0.0010516089207146726
1,7,3.3070035699547654e-89,0.0005498833085170402
1,8,0.0,0.00027828581373571176
1,9,0.0,0.0001395720486724162
1,10,0.0,6.984002012550431e-5
1,11,0.0,3.492677061228698e-5
1,12,0.0,1.7464230711799994e-5
1,13,0.0,8.732221068111371e-6
1,14,0.0,4.366123791545413e-6
1,15,0.0,2.1830635896825504e-6
1,16,0.0,1.0915320026535027e-6
1,17,0.0,5.457659581285235e-7
1,18,0.0,2.728831103911606e-7
2,1,0.7608411669153909,0.007140472594033886
2,2,0.4677708951949995,0.009071700013010773
2,3,0.2673556666941924,0.008386988923929821
2,4,0.12311430309338,0.006144140689836714
2,5,0.037515239064042395,0.004025968636880007
2,6,0.005029139989086395,0.002417913879317867
2,7,2.764672236510762e-5,0.0015772369633675221
2,8,1.1976360290063321e-11,0.0010892427700169545
2,9,6.425600633548369e-29,0.0007167454794103484
2,10,3.7826614804294273e-75,0.0004534125016430637
2,11,2.6950250659196897e-198,0.0002815958920390728
2,12,0.0,0.00017358770385832834
2,13,0.0,0.00010669859745811446
2,14,0.0,6.551218247355031e-5
2,15,0.0,4.020734548326258e-5
2,16,0.0,2.467293784523427e-5
2,17,0.0,1.5139473143236665e-5
2,18,0.0,9.289472043862425e-6
2,19,0.0,5.699905792031015e-6
2,20,0.0,3.4973810950232658e-6
2,21,0.0,2.1459407506887274e-6
2,22,0.0,1.316716545279287e-6
2,23,0.0,8.079170597027252e-7
2,24,0.0,4.957255401728295e-7
2,25,0.0,3.041697176753641e-7
2,26,0.0,1.8663419792061835e-7
2,27,0.0,1.1451636435194745e-7
2,28,0.0,7.026470280690781e-8
2,29,0.0,4.3112574097475255e-8
2,30,0.0,2.6453791049437375e-8
2,31,0.0,1.6232165277695344e-8
2,32,0.0,9.96320815046799e-9
2,33,0.0,6.1156513128533996e-9
2,34,0.0,3.744466829216231e-9
2,35,0.0,2.2988111832844237e-9
2,36,0.0,1.4052791069440336e-9
2,37,0.0,9.103007748239901e-10
2,38,0.0,5.633331793738015e-10
2,39,0.0,3.108700918442714e-10
3,1,0.8584865009785762,0.00419198010315059
3,2,0.5865579832421847,0.00598024511370571
3,3,0.39744473856843054,0.007419175289272658
3,4,0.25818997518692105,0.00731605551219997
3,5,0.14830217109932392,0.005881920021775835
3,6,0.06882673502137199,0.004360469024663994
3,7,0.02249473705303861,0.0030326480067432854
3,8,0.003484997879361118,0.0019637003081930124
3,9,6.211071376487717e-5,0.0013835257190453719
3,10,5.2427331463758665e-9,0.0010314641919981892
3,11,3.0156110765222896e-18,0.0007488455867492478
3,12,6.449925834875005e-39,0.0005250078874263204
3,13,6.946880431346881e-85,0.0003602289194886716
3,14,7.491350718792993e-187,0.0002444655455510167
3,15,0.0,0.00016503906686147194
3,16,0.0,0.00011114938603599161
3,17,0.0,7.47736902546495e-5
3,18,0.0,5.027746796676752e-5
3,19,0.0,3.3798675400807084e-5
3,20,0.0,2.2718597381306953e-5
3,21,0.0,1.527014857941877e-5
3,22,0.0,1.0263510590354817e-5
3,23,0.0,6.89833857712718e-6
3,24,0.0,4.636510257477025e-6
3,25,0.0,3.1162845692027445e-6
3,26,0.0,2.0945108595701846e-6
3,27,0.0,1.4077578389163838e-6
3,28,0.0,9.461788350749249e-7
3,29,0.0,6.359434062383439e-7
3,30,0.0,4.2742873655110746e-7
3,31,0.0,2.872823599634168e-7
3,32,0.0,1.9308762001726636e-7
3,33,0.0,1.297773983209829e-7
3,34,0.0,8.722531457018032e-8
3,35,0.0,5.86256357073307e-8
3,36,0.0,3.9402483557312305e-8
3,37,0.0,2.6483158558426287e-8
3,38,0.0,1.7802159817126858e-8
3,39,0.0,1.1966745320118828e-8
3,40,0.0,8.044419653796694e-9
3,41,0.0,5.4114848386361476e-9
3,42,0.0,3.6427620213741793e-9
3,43,0.0,2.4495374616389187e-9
3,44,0.0,1.632982305981967e-9
3,45,0.0,1.07323327590237e-9
4,1,0.7398651522584185,0.0023801248556560572
4,2,0.562817218901335,0.003092626762161944
4,3,0.4298569098868591,0.003996851710759842
4,4,0.3284964661768659,0.004893597259907174
4,5,0.248973728391081,0.005393911909606513
4,6,0.18342015641862933,0.00522880230643882
4,7,0.12697897193079136,0.004516340440332267
4,8,0.07963971834130669,0.0036876531067809425
