N_xy,M_mid,E_exact,E_FFCT,abs_error,relative_error
2,1,0.5959143382894423,0.3861321707085235,0.20978216758091878,0.35203409970482236
4,1,0.5959143382894423,0.5453887765612524,0.050525561728189894,0.08478661861572638
8,1,0.5959143382894423,0.5950781429604228,0.0008361953290194624,0.0014032139777333448
16,1,0.5959143382894423,0.5959012796838513,1.3058605590976491e-5,2.191356165126166e-5
32,1,0.5959143382894423,0.5959012800545247,1.3058234917595613e-5,2.1912939626656677e-5
64,1,0.5959143382894423,0.5959012800545247,1.3058234917595613e-5,2.1912939626656677e-5
2,3,0.12814344309444275,0.12564570465910246,0.002497738435340291,0.019491738125839476
4,3,0.12814344309444275,0.12814279495879383,6.481356489285162e-7,5.057891635164157e-6
8,3,0.12814344309444275,0.12814344309443912,3.635980405647388e-15,2.837429928402689e-14
16,3,0.12814344309444275,0.12814344309443912,3.635980405647388e-15,2.837429928402689e-14
32,3,0.12814344309444275,0.12814344309443912,3.635980405647388e-15,2.837429928402689e-14
64,3,0.12814344309444275,0.12814344309443912,3.635980405647388e-15,2.837429928402689e-14
2,5,0.0050291400010627554,0.005029140001049391,1.3364309658925322e-14,2.6573747511704153e-12
4,5,0.0050291400010627554,0.005029140001062784,2.862293735361732e-17,5.6914178860737084e-15
8,5,0.0050291400010627554,0.005029140001062784,2.862293735361732e-17,5.6914178860737084e-15
16,5,0.0050291400010627554,0.005029140001062784,2.862293735361732e-17,5.6914178860737084e-15
32,5,0.0050291400010627554,0.005029140001062784,2.862293735361732e-17,5.6914178860737084e-15
64,5,0.0050291400010627554,0.005029140001062784,2.862293735361732e-17,5.6914178860737084e-15
2,7,1.1976360290063321e-11,1.1976360290063392e-11,7.108583389127582e-26,5.935512306711004e-15
4,7,1.1976360290063321e-11,1.1976360290063392e-11,7.108583389127582e-26,5.935512306711004e-15
8,7,1.1976360290063321e-11,1.1976360290063392e-11,7.108583389127582e-26,5.935512306711004e-15
16,7,1.1976360290063321e-11,1.1976360290063392e-11,7.108583389127582e-26,5.935512306711004e-15
32,7,1.1976360290063321e-11,1.1976360290063392e-11,7.108583389127582e-26,5.935512306711004e-15
64,7,1.1976360290063321e-11,1.1976360290063392e-11,7.108583389127582e-26,5.935512306711004e-15
2,9,3.7826614804294273e-75,3.782661480429441e-75,1.3745461702833634e-89,3.6338069832442894e-15
4,9,3.7826614804294273e-75,3.782661480429441e-75,1.3745461702833634e-89,3.6338069832442894e-15
8,9,3.7826614804294273e-75,3.782661480429441e-75,1.3745461702833634e-89,3.6338069832442894e-15
16,9,3.7826614804294273e-75,3.782661480429441e-75,1.3745461702833634e-89,3.6338069832442894e-15
32,9,3.7826614804294273e-75,3.782661480429441e-75,1.3745461702833634e-89,3.6338069832442894e-15
64,9,3.7826614804294273e-75,3.782661480429441e-75,1.3745461702833634e-89,3.6338069832442894e-15
