N_z,M_mid,E_exact,E_FFCT,abs_error,relative_error
3,1,0.5959143382894423,3.2308029039197628,2.6348885656303205,4.421589474073915
6,1,0.5959143382894423,0.44959329651493163,0.14632104177451066,0.24554039460524088
9,1,0.5959143382894423,0.5669736386979694,0.02894069959147294,0.04856520095580603
12,1,0.5959143382894423,0.5746627885163084,0.021251549773133926,0.035662088336615605
15,1,0.5959143382894423,0.5878443399749292,0.00806999831451305,0.013542212019394909
18,1,0.5959143382894423,0.5918340256475018,0.004080312641940531,0.006847146275508272
21,1,0.5959143382894423,0.5942476300460015,0.0016667082434408398,0.0027968923322521247
24,1,0.5959143382894423,0.5954798211818709,0.00043451710757136386,0.0007291603501581028
27,1,0.5959143382894423,0.5957542655069561,0.00016007278248619805,0.00026861710182319676
30,1,0.5959143382894423,0.5958653355464351,4.900274300723151e-5,8.223118636126913e-5
3,2,0.3048985524805999,3.402530575454639,3.097632022974039,10.159549783927346
6,2,0.3048985524805999,0.27400889763181463,0.030889654848785253,0.10131125450571203
9,2,0.3048985524805999,0.30057213284465056,0.004326419635949319,0.014189702118131902
12,2,0.3048985524805999,0.3032048526584098,0.0016936998221900867,0.005554961833732726
15,2,0.3048985524805999,0.3046406169966154,0.00025793548398450605,0.000845971494078897
18,2,0.3048985524805999,0.30486477006235013,3.378241824975037e-5,0.00011079888039776732
21,2,0.3048985524805999,0.3048948692667272,3.683213872673896e-6,1.2080129087881622e-5
24,2,0.3048985524805999,0.3048984163973097,1.3608329019199061e-7,4.463231756426569e-7
27,2,0.3048985524805999,0.304898516861486,3.5619113880613895e-8,1.1682283694305263e-7
30,2,0.3048985524805999,0.3048985466588935,5.821706394737447e-9,1.9093912868306816e-8
3,3,0.12814344309444275,1.5980987040050059,1.469955260910563,11.471170318306447
6,3,0.12814344309444275,0.12559026410531102,0.002553178989131738,0.019924382609651157
9,3,0.12814344309444275,0.1280289252408574,0.00011451785358534972,0.0008936692414371068
12,3,0.12814344309444275,0.12813492716252753,8.51593191522615e-6,6.645624395272288e-5
15,3,0.12814344309444275,0.12814385187395713,4.087795143770112e-7,3.19001506831479e-6
18,3,0.12814344309444275,0.12814348830246713,4.520802437957272e-8,3.527923340272201e-7
21,3,0.12814344309444275,0.12814344314155385,4.711109280464143e-11,3.676434132483874e-10
24,3,0.12814344309444275,0.12814344300038852,9.405423662123269e-11,7.33976193787098e-10
27,3,0.12814344309444275,0.12814344309437267,7.008282842946301e-14,5.469092037570069e-13
30,3,0.12814344309444275,0.12814344309441178,3.097522238704187e-14,2.4172303817537413e-13
3,4,0.0375428857864075,0.433438671010734,0.3958957852243265,10.545161271743837
6,4,0.0375428857864075,0.037558149568646816,1.526378223931646e-5,0.00040656923194867323
9,4,0.0375428857864075,0.03754044178909864,2.4439973088583034e-6,6.509881320159888e-5
12,4,0.0375428857864075,0.037542834486754585,5.129965291450489e-8,1.3664280685923739e-6
15,4,0.0375428857864075,0.037542887497020984,1.7106134841959886e-9,4.5564251345199484e-8
18,4,0.0375428857864075,0.03754288578788271,1.4752088439706768e-12,3.9293965103364007e-11
21,4,0.0375428857864075,0.037542885786414806,7.306655280814311e-15,1.9462156751572105e-13
24,4,0.0375428857864075,0.03754288578640949,1.9914625504213745e-15,5.304500463154031e-14
27,4,0.0375428857864075,0.037542885786407326,1.734723475976807e-16,4.620645002747413e-15
30,4,0.0375428857864075,0.03754288578640734,1.5959455978986625e-16,4.25099340252762e-15
3,5,0.0050291400010627554,0.010816894252147076,0.005787754251084321,1.1508437326980867
6,5,0.0050291400010627554,0.00503014258346252,1.0025823997646469e-6,0.0001993546410624444
9,5,0.0050291400010627554,0.0050291392974806835,7.035820719439312e-10,1.399010709177415e-7
12,5,0.0050291400010627554,0.005029139851917848,1.4914490736178676e-10,2.9656145450369156e-8
15,5,0.0050291400010627554,0.005029140001478214,4.154584662408034e-13,8.261024074752521e-11
18,5,0.0050291400010627554,0.005029140001064343,1.5872719805187785e-15,3.156149918640875e-13
21,5,0.0050291400010627554,0.005029140001062763,7.806255641895632e-18,1.5522048780201025e-15
24,5,0.0050291400010627554,0.005029140001062765,9.540979117872439e-18,1.897139295357903e-15
27,5,0.0050291400010627554,0.005029140001062765,9.540979117872439e-18,1.897139295357903e-15
30,5,0.0050291400010627554,0.005029140001062765,9.540979117872439e-18,1.897139295357903e-15
3,6,2.764672236510762e-5,-0.0001248876632739395,0.00015253438563904713,5.517268326590416
6,6,2.764672236510762e-5,2.7646627002211543e-5,9.536289607712579e-11,3.449338218749627e-6
9,6,2.764672236510762e-5,2.7646723856422227e-5,1.4913146062565767e-12,5.394182306900637e-8
12,6,2.764672236510762e-5,2.7646722363819287e-5,1.2883337246420018e-15,4.6599872043710404e-11
15,6,2.764672236510762e-5,2.764672236510463e-5,2.9917203697021888e-18,1.0821247922965291e-13
18,6,2.764672236510762e-5,2.764672236510767e-5,5.082197683525802e-20,1.8382640865739452e-15
21,6,2.764672236510762e-5,2.764672236510768e-5,6.098637220230962e-20,2.2059169038887343e-15
24,6,2.764672236510762e-5,2.764672236510768e-5,6.098637220230962e-20,2.2059169038887343e-15
27,6,2.764672236510762e-5,2.764672236510767e-5,5.082197683525802e-20,1.8382640865739452e-15
30,6,2.764672236510762e-5,2.7646722365107678e-5,5.759824041329242e-20,2.0833659647838045e-15
3,7,1.1976360290063321e-11,-1.0327552442046606e-10,1.1525188471052937e-10,9.623281357538385
6,7,1.1976360290063321e-11,1.1976346664292063e-11,1.362577125765901e-17,1.1377222234174258e-6
9,7,1.1976360290063321e-11,1.1976360299868321e-11,9.804999931181519e-21,8.186961392032135e-10
12,7,1.1976360290063321e-11,1.1976360290064575e-11,1.2536956159006826e-24,1.046808534092668e-13
15,7,1.1976360290063321e-11,1.197636029006335e-11,2.908056841006738e-26,2.4281641254726835e-15
18,7,1.1976360290063321e-11,1.1976360290063357e-11,3.554291694563791e-26,2.967756153355502e-15
21,7,1.1976360290063321e-11,1.1976360290063357e-11,3.554291694563791e-26,2.967756153355502e-15
24,7,1.1976360290063321e-11,1.197636029006336e-11,3.877409121342317e-26,3.2375521672969116e-15
27,7,1.1976360290063321e-11,1.1976360290063357e-11,3.554291694563791e-26,2.967756153355502e-15
30,7,1.1976360290063321e-11,1.1976360290063355e-11,3.3927329811745276e-26,2.8328581463847976e-15
3,8,6.425600633548369e-29,-7.014358379405605e-28,7.656918442760442e-28,11.916268811950907
6,8,6.425600633548369e-29,6.425600058475794e-29,5.750725754153273e-36,8.949709267844095e-8
9,8,6.425600633548369e-29,6.425600633599021e-29,5.065189481087057e-40,7.882826477950495e-12
12,8,6.425600633548369e-29,6.425600633548384e-29,1.4573504028978098e-43,2.2680376294924296e-15
15,8,6.425600633548369e-29,6.425600633548376e-29,6.726232628759122e-44,1.0467865982272751e-15
18,8,6.425600633548369e-29,6.42560063354838e-29,1.1210387714598537e-43,1.744644330378792e-15
21,8,6.425600633548369e-29,6.425600633548377e-29,7.847271400218976e-44,1.2212510312651545e-15
24,8,6.425600633548369e-29,6.425600633548378e-29,8.96831017167883e-44,1.3957154643030337e-15
27,8,6.425600633548369e-29,6.425600633548378e-29,8.96831017167883e-44,1.3957154643030337e-15
