extra_pad_ratio,n_atoms,energy_exact,energy_approx,abs_error,relative_error
2,100,1.0852655028311784,1.0852634320669925,2.0707641859019077e-6,1.9080715092296004e-6
3,100,1.0852655028311784,1.0852654892993563,1.353182210728221e-8,1.2468674321611779e-8
4,100,1.0852655028311784,1.0852655028121072,1.9071189072406014e-11,1.757283265952358e-11
8,100,1.0852655028311784,1.085265502831024,1.5432100042289676e-13,1.4219654086517352e-13
2,169,1.896755666149857,1.8967487074014735,6.958748383523172e-6,3.6687637251921e-6
3,169,1.896755666149857,1.8967556332734241,3.287643290939002e-8,1.7332982574463308e-8
4,169,1.896755666149857,1.8967556661062168,4.36402025627558e-11,2.3007814523279733e-11
8,169,1.896755666149857,1.8967556661501304,2.7333690866271354e-13,1.4410760096346433e-13
2,283,2.992306622809017,2.9923060471167098,5.756923071587039e-7,1.9239081408651725e-7
3,283,2.992306622809017,2.9923066166464003,6.162616639215912e-9,2.0594870165513916e-9
4,283,2.992306622809017,2.992306622796567,1.2450040998146505e-11,4.16068356873771e-12
8,283,2.992306622809017,2.9923066228091058,8.881784197001252e-14,2.96820657659191e-14
2,476,5.6026890391643445,5.60268401349354,5.025670804847948e-6,8.970104836654544e-7
3,476,5.6026890391643445,5.602689011202074,2.7962270721104687e-8,4.990866086916602e-9
4,476,5.6026890391643445,5.602689039125454,3.8890668463409384e-11,6.941429051577353e-12
8,476,5.6026890391643445,5.602689039163698,6.465938895416912e-13,1.154077774122071e-13
2,800,9.466112476909307,9.466107496930517,4.979978790231598e-6,5.260848951857759e-7
3,800,9.466112476909307,9.466112454697654,2.2211652961345862e-8,2.3464387324286246e-9
4,800,9.466112476909307,9.466112476885154,2.4153123945325206e-11,2.5515357021419226e-12
8,800,9.466112476909307,9.466112476907721,1.5862866575844237e-12,1.6757530205285997e-13
2,1346,14.941377393793045,14.941374638575335,2.7552177108702836e-6,1.8440185521415565e-7
3,1346,14.941377393793045,14.941377376605168,1.7187877787705474e-8,1.150354303669866e-9
4,1346,14.941377393793045,14.941377393769146,2.389910491729097e-11,1.59952488230564e-12
8,1346,14.941377393793045,14.941377393791958,1.0871303857129533e-12,7.275971666203743e-14
2,2263,24.525582372726728,24.52557913093094,3.2417957882557857e-6,1.3218017574419646e-7
3,2263,24.525582372726728,24.52558236025548,1.2471247146095266e-8,5.084995314918071e-10
4,2263,24.525582372726728,24.5255823727074,1.9326762412674725e-11,7.880246070799418e-13
8,2263,24.525582372726728,24.525582372723857,2.8705926524708048e-12,1.1704483134569722e-13
2,3806,42.27489892701592,42.27489396120543,4.965810489920841e-6,1.1746475132900727e-7
3,3806,42.27489892701592,42.27489892322291,3.793005021179852e-9,8.972239124044171e-11
4,3806,42.27489892701592,42.274898927027365,1.1446843473095214e-11,2.7077163431797275e-13
8,3806,42.27489892701592,42.2748989270104,5.5209170568559784e-12,1.3059562995969265e-13
2,6400,69.21727036973611,69.21725999587093,1.0373865180213215e-5,1.4987394222279217e-7
3,6400,69.21727036973611,69.21727032273108,4.700503097865294e-8,6.790939707325553e-10
4,6400,69.21727036973611,69.21727036967489,6.122036211309023e-11,8.844665758425751e-13
8,6400,69.21727036973611,69.21727036972621,9.904965736495797e-12,1.4309962937842963e-13
