extra_pad_ratio,M_mid,error,error_rel
2,1,2.7755575615628914e-16,2.5509703495024204e-16
2,2,4.773959005888173e-15,4.387669001144164e-15
2,3,6.661338147750939e-15,6.122328838805809e-15
2,4,6.217248937900877e-15,5.7141735828854225e-15
2,5,1.9661383632296747e-11,1.8070461722991266e-11
2,6,2.361464019662307e-6,2.170383629941104e-6
2,7,9.505010407862002e-5,8.735902313088622e-5
2,8,0.0005562612483527296,0.0005112507738178508
2,9,0.0009928320384664513,0.0009124959709853151
2,10,0.0012721330821587884,0.001169197071661835
2,11,0.0014462445400034163,0.0013292201144627157
2,12,0.0015537289741971438,0.0014280073305732147
2,13,0.0016198322438611967,0.0014887617833914113
2,14,0.0016604275716558536,0.0015260722967695554
2,15,0.001685344426335611,0.0015489729774728338
2,16,0.001700634917138677,0.0015630262218400655
2,17,0.0017100173641808603,0.0015716494781334456
2,18,0.001715774390281588,0.0015769406683028178
2,19,0.0017193068362235664,0.0015801872825989857
2,20,0.0017214742960733886,0.001582179360114222
3,1,1.5543122344752192e-15,1.4285433957213556e-15
3,2,3.1086244689504383e-15,2.8570867914427113e-15
3,3,5.218048215738236e-15,4.795824257064551e-15
3,4,5.995204332975845e-15,5.510095954925229e-15
3,5,5.773159728050814e-15,5.306018326965035e-15
3,6,1.6215407461217524e-8,1.4903320403621517e-8
3,7,1.7605328294978406e-5,1.61807743048417e-5
3,8,0.00027950713659907755,0.0002568905173550347
3,9,0.0007045922561292883,0.0006475794192726933
3,10,0.0009838930433450077,0.0009042802842256756
3,11,0.0011580045011898576,0.0010643033270267602
3,12,0.0012654889353838072,0.0011630905431374635
3,13,0.0013315922050480822,0.0012238449959558642
3,14,0.001372187532842073,0.0012611555093333961
3,15,0.0013971043875216083,0.0012840561900364703
3,16,0.0014123948783255624,0.0012981094344045182
3,17,0.0014217773253679677,0.0013067326906981026
3,18,0.0014275343514684735,0.0013120238808672707
3,19,0.0014310667974104518,0.0013152704951634386
3,20,0.0014332342572604961,0.001317262572678879
4,1,3.3306690738754696e-16,3.0611644194029045e-16
4,2,4.551914400963142e-15,4.18359137318397e-15
4,3,5.995204332975845e-15,5.510095954925229e-15
4,4,5.551115123125783e-15,5.101940699004841e-15
4,5,5.329070518200751e-15,4.897863071044647e-15
4,6,2.3775426072347727e-11,2.1851612013837734e-11
4,7,1.9099648045362017e-6,1.75541795725595e-6
4,8,0.0001173556314526536,0.00010785967487349823
4,9,0.0005004225208209423,0.00045993029671438716
4,10,0.0007796983290617732,0.0007166082038929807
4,11,0.0009538097869070672,0.0008766312466944736
4,12,0.0010612942211010168,0.0009754184628051767
4,13,0.0011273974907644035,0.0010361729156227611
4,14,0.0011679928185588384,0.0010734834290007011
4,15,0.0011929096732388178,0.0010963841097041836
4,16,0.0012082001640421058,0.0011104373540716194
4,17,0.0012175826110829568,0.001119060610363775
4,18,0.0012233396371845728,0.0011243518005339636
4,19,0.0012268720831274393,0.0011275984148309476
4,20,0.0012290395429759293,0.0011295904923449595
8,1,3.3306690738754696e-16,3.0611644194029045e-16
8,2,5.329070518200751e-15,4.897863071044647e-15
8,3,7.216449660063518e-15,6.6325229087062936e-15
8,4,7.327471962526033e-15,6.73456172268639e-15
8,5,6.8833827526759706e-15,6.326406466766003e-15
8,6,6.661338147750939e-15,6.122328838805809e-15
8,7,7.893685705084863e-13,7.254959673984884e-13
8,8,5.197461869776987e-7,4.77690367732987e-7
8,9,8.12639275875604e-5,7.468836987233965e-5
8,10,0.0003325381177217146,0.0003056304398564778
8,11,0.0005066430157740776,0.00046564745365770854
8,12,0.0006141274499682492,0.0005644346697686157
8,13,0.0006802307196325241,0.0006251891225870166
8,14,0.000720826047426737,0.0006624996359647524
8,15,0.0007457429021060502,0.0006854003166676226
8,16,0.0007610333929100044,0.0006994535610356706
8,17,0.0007704158399510774,0.0007080768173280304
8,18,0.0007761728660526934,0.0007133680074982189
8,19,0.0007797053119946717,0.0007166146217943868
8,20,0.0007818727718449381,0.0007186066993100312
