M_mid,Nxy,E_thin_k,E_direct_k,error
0,8,1.0021894274237761,1.042478696484594,0.03864757063782672
0,16,1.0423240931123812,1.042478696484594,0.00014830362743545217
0,32,1.0424786964845278,1.042478696484594,6.347304025568372e-14
0,64,1.0424786964845971,1.042478696484594,2.981954911340846e-15
1,8,0.7251532583256435,0.7257744982774427,0.0008559682839141429
1,16,0.725774497922221,0.7257744982774427,4.894380151570935e-10
1,32,0.7257744982774441,0.7257744982774427,1.9886203434237714e-15
1,64,0.7257744982774441,0.7257744982774427,1.9886203434237714e-15
2,8,0.3550277671905607,0.35502783893301904,2.0207558533594229e-7
2,16,0.35502783893302037,0.35502783893301904,3.7525722871595396e-15
2,32,0.35502783893302037,0.35502783893301904,3.7525722871595396e-15
2,64,0.35502783893302037,0.35502783893301904,3.7525722871595396e-15
3,8,0.17785796707048057,0.17785796707048082,1.4044924984533891e-15
3,16,0.17785796707048057,0.17785796707048082,1.4044924984533891e-15
3,32,0.17785796707048057,0.17785796707048082,1.4044924984533891e-15
3,64,0.17785796707048057,0.17785796707048082,1.4044924984533891e-15
4,8,0.0436442580777404,0.04364425807774039,3.179751110236528e-16
4,16,0.0436442580777404,0.04364425807774039,3.179751110236528e-16
4,32,0.0436442580777404,0.04364425807774039,3.179751110236528e-16
4,64,0.0436442580777404,0.04364425807774039,3.179751110236528e-16
5,8,0.008162500986970161,0.008162500986970161,0.0
5,16,0.008162500986970161,0.008162500986970161,0.0
5,32,0.008162500986970161,0.008162500986970161,0.0
5,64,0.008162500986970161,0.008162500986970161,0.0
