preset,Nxy,E_thin_k,E_direct_k,error
1,8,0.9544080499533146,0.960918556725112,0.00677529508222388
1,16,0.9609184064554636,0.960918556725112,1.5638125347833522e-7
1,32,0.960918556725113,0.960918556725112,1.0398391363863318e-15
1,64,0.960918556725113,0.960918556725112,1.0398391363863318e-15
1,128,0.960918556725113,0.960918556725112,1.0398391363863318e-15
1,256,0.960918556725113,0.960918556725112,1.0398391363863318e-15
2,8,0.8906451940765477,0.93748862171025,0.04996692925002798
2,16,0.9373457961906175,0.93748862171025,0.00015234906997800332
2,32,0.9374886217101293,0.93748862171025,1.2884664654260767e-13
2,64,0.937488621710255,0.93748862171025,5.329135197074766e-15
2,128,0.937488621710255,0.93748862171025,5.329135197074766e-15
2,256,0.937488621710255,0.93748862171025,5.329135197074766e-15
3,8,1.16147827647402,1.2979529204960585,0.1051460664458307
3,16,1.2921942969030993,1.2979529204960585,0.00443669681852431
3,32,1.2979528744424207,1.2979529204960585,3.5481747500207685e-8
3,64,1.297952920496062,1.2979529204960585,2.7371668283952132e-15
3,128,1.297952920496062,1.2979529204960585,2.7371668283952132e-15
3,256,1.297952920496062,1.2979529204960585,2.7371668283952132e-15
4,8,1.4535060843740755,1.6854609839358823,0.13762104360324412
4,16,1.6673623059330314,1.6854609839358823,0.010738117449973215
4,32,1.685458303957835,1.6854609839358823,1.5900564135287478e-6
4,64,1.685460983935885,1.6854609839358823,1.5808940607323718e-15
4,128,1.685460983935885,1.6854609839358823,1.5808940607323718e-15
4,256,1.685460983935885,1.6854609839358823,1.5808940607323718e-15
5,8,1.3817277559366288,1.9157926152048563,0.2787696617209895
5,16,1.8432756212060677,1.9157926152048563,0.037852215017038456
5,32,1.9155321987024654,1.9157926152048563,0.00013593146790739731
5,64,1.9157926152043085,1.9157926152048563,2.859307609824342e-13
5,128,1.9157926152048732,1.9157926152048563,8.808568234562219e-15
5,256,1.9157926152048732,1.9157926152048563,8.808568234562219e-15
6,8,1.91439655784314,2.911076777044041,0.34237510568613305
6,16,2.6722296296084136,2.911076777044041,0.08204769771759753
6,32,2.9063166836645924,2.911076777044041,0.0016351658661102708
6,64,2.9110767566201696,2.911076777044041,7.015916462248643e-9
6,128,2.9110767770440686,2.911076777044041,9.45819472293751e-15
6,256,2.9110767770440686,2.911076777044041,9.45819472293751e-15
