extra_pad_ratio,M_mid,error,error_rel
2,3,1.7621459846850485e-12,6.0132654624758415e-15
2,6,1.0800249583553523e-12,3.685549799581968e-15
2,9,2.703589530028694e-8,9.225910728695133e-11
2,12,0.0002794434246595756,9.535915348816751e-7
2,15,0.010422073909978735,3.556498589499492e-5
2,18,1.2310268713854384,0.0042008388824861225
2,21,6.450842807412926,0.022013289815264632
2,24,11.89273950280949,0.04058358406624766
2,27,15.59948728150249,0.05323273946508797
2,30,18.05916441950444,0.061626307144120034
3,3,1.6342482922482304e-12,5.57681877568324e-15
3,6,7.673861546209082e-13,2.6186801207556086e-15
3,9,8.526512829121202e-14,2.9096445786173427e-16
3,12,1.2593274902883422e-6,4.297413817647319e-9
3,15,0.0003625747748969843,1.2372745450160137e-6
3,18,0.2952560485337017,0.0010075515959888698
3,21,3.4384514255419276,0.011733602880414935
3,24,8.512850981632596,0.029049825179043916
3,27,12.218180617496728,0.04169414121192488
3,30,14.677857754077252,0.05008770888610637
4,3,1.9326762412674725e-12,6.59519437819931e-15
4,6,1.3073986337985843e-12,4.461455020546592e-15
4,9,5.115907697472721e-13,1.7457867471704057e-15
4,12,1.4976819784351392e-9,5.110790702341363e-12
4,15,5.465455251396634e-5,1.8650687051790807e-7
4,18,0.054655539104487616,0.00018651023722575112
4,21,1.6602352052530591,0.005665498265241099
4,24,6.0161916304061265,0.020530056908550264
4,27,9.707281406834966,0.033125779887463534
4,30,12.16695804263162,0.04151934585273647
8,3,1.7195134205394424e-12,5.867783233544975e-15
8,6,1.1652900866465643e-12,3.976514257443701e-15
8,9,1.9895196601282805e-13,6.789170683440467e-16
8,12,3.410605131648481e-13,1.163857831446937e-15
8,15,1.1368683772161603e-12,3.879526104823124e-15
8,18,2.4345337692466273e-6,8.307766756599578e-9
8,21,0.031085810324498198,0.00010607930967239913
8,24,1.059756033563815,0.0036163827575379135
8,27,3.9477205353474574,0.013471467039068482
8,30,6.396559634957157,0.02182805026703263
