Window_type,energy_exact,error,error_rel,w
2,202.53490948358973,18.60078312061688,0.09183988660544468,"(1, 1, 1)"
2,202.53490948358973,0.788339799767499,0.003892365033650526,"(2, 2, 2)"
2,202.53490948358973,0.03460995894084817,0.00017088391837779662,"(3, 3, 3)"
2,202.53490948358973,0.0015508641592418826,7.657268384972125e-6,"(4, 4, 4)"
2,202.53490948358973,6.992256757598625e-5,3.4523711371175585e-7,"(5, 5, 5)"
2,202.53490948358973,3.154322030241019e-6,1.5574214036897162e-8,"(6, 6, 6)"
2,202.53490948358973,1.4227796896193468e-7,7.024861507811456e-10,"(7, 7, 7)"
2,202.53490948358973,6.426631671274663e-9,3.1730982513883004e-11,"(8, 8, 8)"
2,202.53490948358973,2.906972440541722e-10,1.4352945119207993e-12,"(9, 9, 9)"
2,202.53490948358973,1.2789769243681803e-11,6.314846796679308e-14,"(10, 10, 10)"
2,202.53490948358973,4.263256414560601e-13,2.1049489322264363e-15,"(11, 11, 11)"
2,202.53490948358973,0.0,0.0,"(12, 12, 12)"
