Window_type,energy_exact,error,error_rel,w
1,202.53490948358836,0.2236913617679761,0.0011044582997485777,"(1, 1, 1)"
1,202.53490948358836,0.003263970851179465,1.6115596365593204e-5,"(2, 2, 2)"
1,202.53490948358836,1.193056650095059e-5,5.8906222790779374e-8,"(3, 3, 3)"
1,202.53490948358836,1.0104685088663246e-8,4.989107860184488e-11,"(4, 4, 4)"
1,202.53490948358836,2.0520758425845997e-9,1.0131961190378797e-11,"(5, 5, 5)"
1,202.53490948358836,1.4779288903810084e-12,7.297156298385028e-15,"(6, 6, 6)"
1,202.53490948358836,2.3874235921539366e-12,1.1787714020468122e-14,"(7, 7, 7)"
1,202.53490948358836,2.8137492336099967e-12,1.3892662952694572e-14,"(8, 8, 8)"
1,202.53490948358836,1.8758328224066645e-12,9.261775301796382e-15,"(9, 9, 9)"
1,202.53490948358836,8.526512829121202e-13,4.209897864452901e-15,"(10, 10, 10)"
1,202.53490948358836,1.4779288903810084e-12,7.297156298385028e-15,"(11, 11, 11)"
1,202.53490948358836,2.0179413695586845e-12,9.963424945871865e-15,"(12, 12, 12)"
