Window_type,energy_exact,error,error_rel,N_real
1,202.53490948359078,4.263056382117384,0.021048501677992323,"(12, 12, 12)"
1,202.53490948359078,0.11931711444245252,0.0005891187585719364,"(16, 16, 16)"
1,202.53490948359078,0.003700530630595722,1.8271075539673995e-5,"(20, 20, 20)"
1,202.53490948359078,6.724427203153027e-5,3.320132425712929e-7,"(24, 24, 24)"
1,202.53490948359078,5.392204514009791e-7,2.6623580733605153e-9,"(28, 28, 28)"
1,202.53490948359078,3.0854039323457982e-9,1.5233936412309084e-11,"(32, 32, 32)"
1,202.53490948359078,1.2249756764504127e-11,6.048219931930595e-14,"(36, 36, 36)"
1,202.53490948359078,0.0,0.0,"(40, 40, 40)"
1,202.53490948359078,6.536993168992922e-13,3.2275883627471856e-15,"(44, 44, 44)"
1,202.53490948359078,5.684341886080802e-14,2.8065985763019004e-16,"(48, 48, 48)"
1,202.53490948359078,3.410605131648481e-13,1.6839591457811403e-15,"(52, 52, 52)"
1,202.53490948359078,2.842170943040401e-14,1.4032992881509502e-16,"(56, 56, 56)"
1,202.53490948359078,4.263256414560601e-13,2.1049489322264252e-15,"(60, 60, 60)"
1,202.53490948359078,5.684341886080802e-14,2.8065985763019004e-16,"(64, 64, 64)"
