Window_type,energy_exact,error,error_rel,N_real
1,202.5349094835901,1.0471914808337033,0.005170424612249621,"(12, 12, 12)"
1,202.5349094835901,0.050289846584405495,0.0002483021159790733,"(16, 16, 16)"
1,202.5349094835901,0.0007623672732677278,3.7641277506754793e-6,"(20, 20, 20)"
1,202.5349094835901,1.5361379070100156e-5,7.584558686335886e-8,"(24, 24, 24)"
1,202.5349094835901,2.3654564529351774e-8,1.1679253018486834e-10,"(28, 28, 28)"
1,202.5349094835901,6.536993168992922e-11,3.2275883627471965e-13,"(32, 32, 32)"
1,202.5349094835901,3.780087354243733e-12,1.86638805324077e-14,"(36, 36, 36)"
1,202.5349094835901,0.0,0.0,"(40, 40, 40)"
1,202.5349094835901,3.979039320256561e-13,1.964619003411337e-15,"(44, 44, 44)"
1,202.5349094835901,2.5579538487363607e-13,1.2629693593358594e-15,"(48, 48, 48)"
1,202.5349094835901,3.979039320256561e-13,1.964619003411337e-15,"(52, 52, 52)"
1,202.5349094835901,2.5579538487363607e-13,1.2629693593358594e-15,"(56, 56, 56)"
1,202.5349094835901,2.5579538487363607e-13,1.2629693593358594e-15,"(60, 60, 60)"
1,202.5349094835901,3.694822225952521e-13,1.8242890745962413e-15,"(64, 64, 64)"
