Window_type,energy_exact,error,error_rel,N_real
1,202.5349094835901,1.0587613004565526,0.005227549676034176,"(12, 12, 12)"
1,202.5349094835901,0.05192140851761451,0.00025635782320193704,"(16, 16, 16)"
1,202.5349094835901,0.0009406824731001961,4.644544861420113e-6,"(20, 20, 20)"
1,202.5349094835901,1.7709961781520178e-5,8.74415271257476e-8,"(24, 24, 24)"
1,202.5349094835901,3.9094146586649003e-8,1.930242380749503e-10,"(28, 28, 28)"
1,202.5349094835901,7.634071153006516e-11,3.7692618879734647e-13,"(32, 32, 32)"
1,202.5349094835901,1.7337242752546445e-12,8.560125657720824e-15,"(36, 36, 36)"
1,202.5349094835901,0.0,0.0,"(40, 40, 40)"
1,202.5349094835901,1.9895196601282805e-13,9.823095017056684e-16,"(44, 44, 44)"
1,202.5349094835901,1.2789769243681803e-12,6.314846796679297e-15,"(48, 48, 48)"
1,202.5349094835901,6.252776074688882e-13,3.0872584339321007e-15,"(52, 52, 52)"
1,202.5349094835901,1.7053025658242404e-12,8.41979572890573e-15,"(56, 56, 56)"
1,202.5349094835901,5.968558980384842e-13,2.9469285051170052e-15,"(60, 60, 60)"
1,202.5349094835901,2.8421709430404007e-13,1.4032992881509549e-15,"(64, 64, 64)"
