preset,M,error
1,1,1.500774170366291
1,16,0.019935403571010937
1,31,0.019813828798260984
1,46,0.01981382508809078
1,61,0.019813825087977497
1,76,0.019813825087977507
1,91,0.019813825087977553
1,106,0.019813825087977494
1,121,0.019813825087977487
1,136,0.0198138250879775
1,151,0.019813825087977518
1,166,0.019813825087977497
1,181,0.01981382508797751
1,196,0.019813825087977535
1,211,0.019813825087977518
1,226,0.01981382508797752
1,241,0.01981382508797758
1,256,0.019813825087977507
1,271,0.01981382508797754
1,286,0.019813825087977497
2,1,2.8769466307011857
2,16,0.002400527554464378
2,31,0.002567533167947668
2,46,0.002570805981620289
2,61,0.0025708081345907764
2,76,0.0025708081360084154
2,91,0.002570808136009705
2,106,0.0025708081360097043
2,121,0.002570808136009706
2,136,0.0025708081360097056
2,151,0.0025708081360097056
2,166,0.0025708081360097056
2,181,0.002570808136009706
2,196,0.002570808136009706
2,211,0.002570808136009706
2,226,0.002570808136009705
2,241,0.002570808136009706
2,256,0.0025708081360097043
2,271,0.0025708081360097056
2,286,0.0025708081360097065
3,1,3.3943605519387274
3,16,0.02908584629491566
3,31,0.00011068573437493334
3,46,3.1793587982185834e-5
3,61,3.1590018894965834e-5
3,76,3.158949361535521e-5
3,91,3.158949226189717e-5
3,106,3.158949225712566e-5
3,121,3.158949225712566e-5
3,136,3.158949225712571e-5
3,151,3.1589492257125705e-5
3,166,3.1589492257125665e-5
3,181,3.158949225712574e-5
3,196,3.1589492257125705e-5
3,211,3.158949225712567e-5
3,226,3.158949225712565e-5
3,241,3.1589492257125705e-5
3,256,3.1589492257125705e-5
3,271,3.1589492257125685e-5
3,286,3.15894922571257e-5
4,1,3.41717638579771
4,16,0.1103387611520491
4,31,0.0039584918424822695
4,46,6.323434322717678e-5
4,61,3.133021184854097e-6
4,76,2.2065761424540595e-6
4,91,2.192295256003374e-6
4,106,2.1920751183724487e-6
4,121,2.192071724833524e-6
4,136,2.1920716727507955e-6
4,151,2.192071671033317e-6
4,166,2.1920716710333168e-6
4,181,2.192071671033317e-6
4,196,2.192071671033317e-6
4,211,2.1920716710333168e-6
4,226,2.1920716710333163e-6
4,241,2.1920716710333168e-6
4,256,2.192071671033317e-6
4,271,2.192071671033317e-6
4,286,2.1920716710333168e-6
5,1,3.416230071752762
5,16,0.46496183839661337
5,31,0.051970188994059544
5,46,0.003365733520416853
5,61,0.00017458156304801583
5,76,9.050249421856524e-6
5,91,4.6996314713082476e-7
5,106,2.5206384379628663e-8
5,121,2.1525409847707873e-9
5,136,9.57552483014136e-10
5,151,8.956104003611428e-10
5,166,8.924002577663901e-10
5,181,8.922343126165076e-10
5,196,8.922250681928487e-10
5,211,8.922235269003608e-10
5,226,8.922235017971036e-10
5,241,8.922235017971031e-10
5,256,8.922235017971031e-10
5,271,8.922235017971033e-10
5,286,8.922235017971033e-10
6,1,3.416224429559119
6,16,1.602197729288603
6,31,0.20835424548276815
6,46,0.05272015964097428
6,61,0.00828170534415281
6,76,0.0010383499693567108
6,91,0.00012966123225726644
6,106,1.6190082957213855e-5
6,121,2.021564387967954e-6
6,136,2.5242135839508654e-7
6,151,3.151845042209126e-8
6,166,3.9355539741209355e-9
6,181,4.91432188464019e-10
6,196,6.138444249603398e-11
6,211,7.684487251429908e-12
6,226,9.800205642886123e-13
6,241,1.457880066194185e-13
6,256,4.1651243242794784e-14
6,271,3.051646093275258e-14
6,286,2.5392064958154552e-14
