preset,M,error
1,1,0.28759724917764967
1,6,0.004733935626254282
1,11,0.0042314097206547
1,16,0.0042314064647467784
1,21,0.0042314064646474065
1,26,0.004231406464647403
1,31,0.004231406464647403
1,36,0.004231406464647403
1,41,0.004231406464647403
1,46,0.004231406464647403
1,51,0.004231406464647403
1,56,0.004231406464647403
1,61,0.004231406464647403
1,66,0.004231406464647403
1,71,0.004231406464647403
1,76,0.004231406464647403
1,81,0.004231406464647404
1,86,0.004231406464647403
1,91,0.004231406464647403
1,96,0.004231406464647403
1,101,0.004231406464647403
1,106,0.004231406464647403
1,111,0.004231406464647404
1,116,0.004231406464647403
1,121,0.004231406464647403
1,126,0.004231406464647403
1,131,0.004231406464647404
1,136,0.004231406464647403
1,141,0.004231406464647403
1,146,0.004231406464647403
1,151,0.004231406464647403
1,156,0.004231406464647403
1,161,0.004231406464647403
1,166,0.004231406464647403
1,171,0.004231406464647403
1,176,0.004231406464647403
1,181,0.004231406464647403
1,186,0.004231406464647403
1,191,0.004231406464647403
1,196,0.004231406464647403
1,201,0.004231406464647404
1,206,0.004231406464647403
1,211,0.004231406464647404
1,216,0.004231406464647403
1,221,0.004231406464647403
1,226,0.004231406464647404
1,231,0.004231406464647403
1,236,0.004231406464647403
1,241,0.004231406464647403
1,246,0.004231406464647403
2,1,0.44738752530285925
2,6,0.042669910486676364
2,11,0.0004488984715262145
2,16,0.00042185761304090193
2,21,0.00042188145578414885
2,26,0.0004218814714929086
2,31,0.0004218814715032465
2,36,0.00042188147150325314
2,41,0.00042188147150325314
2,46,0.00042188147150325314
2,51,0.00042188147150325314
2,56,0.00042188147150325314
2,61,0.00042188147150325314
2,66,0.00042188147150325314
2,71,0.00042188147150325314
2,76,0.00042188147150325314
2,81,0.00042188147150325314
2,86,0.00042188147150325314
2,91,0.0004218814715032531
2,96,0.00042188147150325314
2,101,0.0004218814715032531
2,106,0.00042188147150325314
2,111,0.00042188147150325314
2,116,0.00042188147150325314
2,121,0.00042188147150325314
2,126,0.00042188147150325314
2,131,0.00042188147150325314
2,136,0.00042188147150325314
2,141,0.00042188147150325314
2,146,0.00042188147150325314
2,151,0.00042188147150325314
2,156,0.00042188147150325314
2,161,0.00042188147150325314
2,166,0.00042188147150325314
2,171,0.00042188147150325314
2,176,0.0004218814715032531
2,181,0.00042188147150325314
2,186,0.00042188147150325314
2,191,0.0004218814715032531
2,196,0.00042188147150325314
2,201,0.00042188147150325314
2,206,0.00042188147150325314
2,211,0.0004218814715032532
2,216,0.00042188147150325314
2,221,0.00042188147150325314
2,226,0.00042188147150325314
2,231,0.00042188147150325314
2,236,0.00042188147150325314
2,241,0.00042188147150325314
2,246,0.00042188147150325314
3,1,0.5347720858427315
3,6,0.12163773689189285
3,11,0.008011209537812399
3,16,6.132914925729632e-5
3,21,5.0468367280738814e-5
3,26,5.047252055031747e-5
3,31,5.047253150791769e-5
3,36,5.0472531536181505e-5
3,41,5.047253153625209e-5
3,46,5.0472531536252134e-5
3,51,5.047253153625215e-5
3,56,5.047253153625215e-5
3,61,5.047253153625215e-5
3,66,5.0472531536252134e-5
3,71,5.0472531536252134e-5
3,76,5.0472531536252134e-5
3,81,5.047253153625215e-5
3,86,5.047253153625215e-5
3,91,5.047253153625213e-5
3,96,5.047253153625215e-5
3,101,5.047253153625215e-5
3,106,5.0472531536252134e-5
3,111,5.0472531536252134e-5
3,116,5.0472531536252134e-5
3,121,5.0472531536252134e-5
3,126,5.0472531536252134e-5
3,131,5.0472531536252134e-5
3,136,5.0472531536252134e-5
3,141,5.047253153625215e-5
3,146,5.0472531536252134e-5
3,151,5.047253153625215e-5
3,156,5.0472531536252134e-5
3,161,5.047253153625215e-5
3,166,5.0472531536252134e-5
3,171,5.0472531536252134e-5
3,176,5.047253153625215e-5
3,181,5.0472531536252134e-5
3,186,5.0472531536252134e-5
3,191,5.0472531536252134e-5
3,196,5.0472531536252134e-5
3,201,5.0472531536252134e-5
3,206,5.0472531536252134e-5
3,211,5.0472531536252134e-5
3,216,5.0472531536252134e-5
3,221,5.0472531536252134e-5
3,226,5.047253153625215e-5
3,231,5.0472531536252134e-5
3,236,5.047253153625215e-5
3,241,5.0472531536252134e-5
3,246,5.047253153625215e-5
