preset,M_mid,total,near,error_rel
1,1,47.612160937014906,54.91731324768343,0.07559578803098073
1,6,1.6924005889214693,1.725875253344024,0.0003464053216796079
1,11,0.052926657421845665,0.05393360548217805,1.042018412346122e-5
1,16,0.0016539592535846053,0.0016854251714344937,3.256182424159108e-7
1,21,5.168683410696378e-5,5.266953660733148e-5,1.0169284192311764e-8
1,26,1.5382876187110036e-6,1.645923018979109e-6,1.1138416500111037e-9
1,31,0.0,5.1435094343097154e-8,5.322649445153644e-10
1,36,0.0,1.607346698221786e-9,1.6633279516105137e-11
1,41,0.0,5.0229584319430815e-11,5.197899848782855e-13
1,46,0.0,1.569674509982213e-12,1.6243437027446423e-14
1,51,0.0,4.9052328436944155e-14,5.076074071077007e-16
1,56,0.0,1.5328852636545048e-15,1.5862731472115647e-17
1,61,0.0,4.7902664489203277e-17,4.95710358503614e-19
1,66,0.0,1.4969582652876024e-18,1.5490948703237937e-20
1,71,0.0,4.6779945790237575e-20,4.840921469761855e-22
1,76,0.0,1.4618733059449242e-21,1.5127879593005797e-23
1,81,0.0,4.568354081077888e-23,4.727462372814312e-25
1,86,0.0,1.42761065033684e-24,1.4773319915044724e-26
1,91,0.0,4.461283282302625e-26,4.616662473451476e-28
1,96,0.0,1.3941510257195704e-27,1.4427070229535863e-29
1,101,0.0,4.3567219553736574e-29,4.508459446729957e-31
1,106,0.0,1.361475611054268e-30,1.4088935771031117e-32
1,111,0.0,4.2546112845445873e-32,4.402792428447224e-34
1,116,0.0,1.3295660264201835e-33,1.3758726338897575e-35
1,121,0.0,4.1548938325630735e-35,4.299601980905492e-37
1,126,0.0,1.2984043226759605e-36,1.3436256190329663e-38
1,131,0.0,4.0575135083623765e-38,4.19883005947802e-40
1,136,0.0,1.2679729713632427e-39,1.3121343935868811e-41
1,141,0.0,3.9624155355101333e-41,4.1004199799590036e-43
1,146,0.0,1.2382548548469167e-42,1.2813812437371886e-44
1,151,0.0,3.8695464213966145e-44,4.0043163866787144e-46
1,156,0.0,1.209233256686442e-45,1.2513488708370983e-47
1,161,0.0,3.7788539271451314e-47,3.910465221365932e-49
1,166,0.0,1.1808918522328536e-48,1.2220203816768538e-50
1,171,0.0,3.6902870382276674e-50,3.818813692740168e-52
1,176,0.0,1.153214699446146e-51,1.1933792789813025e-53
1,181,0.0,3.6037959357692064e-53,3.72931024681657e-55
1,186,0.0,1.126186229927877e-54,1.1654094521301782e-56
1,191,0.0,3.5193319685246156e-56,3.641904537906807e-58
1,196,0.0,1.0997912401639424e-57,1.1380951680958772e-59
1,201,0.0,3.43684762551232e-59,3.556547400299616e-61
1,206,0.0,1.0740148829726e-60,1.11142106259363e-62
1,211,0.0,3.356296509289375e-62,3.473190820605094e-64
1,216,0.0,1.0488426591529297e-63,1.0853721314390918e-65
1,221,0.0,3.2776333098529052e-65,3.391787910747162e-67
1,226,0.0,1.0242604093290329e-66,1.0599337221084881e-68
1,231,0.0,3.2008137791532278e-68,3.3122928815890254e-70
1,236,0.0,1.0002543059853837e-69,1.0350915254965704e-71
1,241,0.0,3.125794706204324e-71,3.2346610171767826e-73
1,246,0.0,9.768108456888512e-73,1.0108315678677446e-74
2,1,49.92377642185637,54.25230153041258,0.034784583450773746
2,6,4.544418770067131,4.682449614645973,0.0011092335868729682
2,11,0.3995996891791879,0.40723570507476026,6.136400401742552e-5
2,16,0.03475627216922996,0.035417518965744764,5.313864144962312e-6
2,21,0.0030227744609751454,0.003080281577101986,4.6213456772453374e-7
2,26,0.00026289250298511794,0.00026789382403802776,4.0191258030401205e-8
2,31,2.2865329118451346e-5,2.329887679463451e-5,3.4840447828919923e-9
2,36,2.009932407466736e-6,2.026316440257054e-6,1.316641908183669e-10
2,41,-2.7151759551198485e-8,1.762298823349877e-7,1.6344009835038592e-9
2,46,0.0,1.532681214581887e-8,1.2316822999749163e-10
2,51,0.0,1.3329814866850333e-9,1.0712010349732693e-11
2,56,0.0,1.1593015083242725e-10,9.316295747297691e-13
2,61,0.0,1.008251052717386e-11,8.102434894798744e-14
2,66,0.0,8.76881620532926e-13,7.0467332730920115e-15
2,71,0.0,7.626288852921427e-14,6.128583625396472e-16
2,76,0.0,6.632626378101554e-15,5.330063704397257e-17
2,81,0.0,5.768432525951195e-16,4.6355864306406874e-18
2,86,0.0,5.016838264297571e-17,4.0315956333149555e-19
2,91,0.0,4.363172500829685e-18,3.50630143429744e-20
2,96,0.0,3.794675703913977e-19,3.0494501101657438e-21
2,101,0.0,3.3002508370082717e-20,2.6521239398953405e-22
2,106,0.0,2.8702467449169405e-21,2.3065671312734263e-23
