extra_pad_ratio,M_mid,error,error_rel
0,0.39,0.208632803,0.000711953
1,0.39,0.001406345,4.80E-06
2,0.39,1.38E-06,4.71E-09
3,0.39,1.39E-10,4.73E-13
4,0.39,3.98E-13,1.36E-15
5,0.39,7.96E-13,2.72E-15
6,0.39,5.68E-14,1.94E-16
7,0.39,3.41E-13,1.16E-15
8,0.39,2.84E-14,9.70E-17
9,0.39,3.41E-13,1.16E-15
10,0.39,3.13E-13,1.07E-15
11,0.39,2.56E-13,8.73E-16
12,0.39,1.42E-13,4.85E-16
13,0.39,1.42E-13,4.85E-16
14,0.39,2.84E-13,9.70E-16
15,0.39,6.25E-13,2.13E-15
16,0.39,4.55E-13,1.55E-15
17,0.39,3.41E-13,1.16E-15
18,0.39,4.83E-13,1.65E-15
19,0.39,5.68E-14,1.94E-16
20,0.39,4.83E-13,1.65E-15
21,0.39,2.56E-13,8.73E-16
22,0.39,2.84E-14,9.70E-17
23,0.39,4.83E-13,1.65E-15
24,0.39,2.84E-13,9.70E-16
25,0.39,3.41E-13,1.16E-15
26,0.39,5.97E-13,2.04E-15
27,0.39,4.55E-13,1.55E-15
28,0.39,3.13E-13,1.07E-15
29,0.39,6.82E-13,2.33E-15
30,0.39,7.39E-13,2.52E-15
0,0.68,0.482645827,0.001647013
1,0.68,0.00967143,3.30E-05
2,0.68,0.003191962,1.09E-05
3,0.68,0.000221043,7.54E-07
4,0.68,5.23E-06,1.79E-08
5,0.68,5.14E-08,1.75E-10
6,0.68,2.18E-10,7.44E-13
7,0.68,7.67E-13,2.62E-15
8,0.68,8.53E-14,2.91E-16
9,0.68,2.27E-13,7.76E-16
10,0.68,4.55E-13,1.55E-15
11,0.68,2.56E-13,8.73E-16
12,0.68,2.56E-13,8.73E-16
13,0.68,2.84E-14,9.70E-17
14,0.68,3.13E-13,1.07E-15
15,0.68,6.54E-13,2.23E-15
16,0.68,3.41E-13,1.16E-15
17,0.68,3.69E-13,1.26E-15
18,0.68,2.84E-13,9.70E-16
19,0.68,5.68E-14,1.94E-16
20,0.68,3.98E-13,1.36E-15
21,0.68,2.56E-13,8.73E-16
22,0.68,2.84E-14,9.70E-17
23,0.68,3.13E-13,1.07E-15
24,0.68,3.13E-13,1.07E-15
25,0.68,3.69E-13,1.26E-15
26,0.68,5.68E-13,1.94E-15
27,0.68,3.13E-13,1.07E-15
28,0.68,2.27E-13,7.76E-16
29,0.68,3.98E-13,1.36E-15
30,0.68,8.53E-13,2.91E-15
0,1.18,9.949280987,0.033951596
1,1.18,3.995844125,0.013635687
2,1.18,1.231026871,0.004200839
3,1.18,0.295256049,0.001007552
4,1.18,0.054655539,0.00018651
5,1.18,0.007671741,2.62E-05
6,1.18,0.000793006,2.71E-06
7,1.18,5.70E-05,1.95E-07
8,1.18,2.43E-06,8.31E-09
9,1.18,9.82E-09,3.35E-11
10,1.18,6.66E-09,2.27E-11
11,1.18,5.20E-10,1.77E-12
12,1.18,2.25E-11,7.66E-14
13,1.18,3.98E-13,1.36E-15
14,1.18,1.14E-13,3.88E-16
15,1.18,1.36E-12,4.66E-15
16,1.18,8.53E-13,2.91E-15
17,1.18,6.25E-13,2.13E-15
18,1.18,1.14E-12,3.88E-15
19,1.18,6.25E-13,2.13E-15
20,1.18,7.96E-13,2.72E-15
21,1.18,5.12E-13,1.75E-15
22,1.18,5.12E-13,1.75E-15
23,1.18,9.09E-13,3.10E-15
24,1.18,6.25E-13,2.13E-15
25,1.18,5.12E-13,1.75E-15
26,1.18,9.66E-13,3.30E-15
27,1.18,8.53E-13,2.91E-15
28,1.18,6.82E-13,2.33E-15
29,1.18,1.25E-12,4.27E-15
30,1.18,1.65E-12,5.63E-15
0,2.05,20.06838924,0.068482721
1,2.05,13.21697382,0.04510249
2,2.05,8.460156767,0.028870008
3,2.05,5.179833508,0.017676012
4,2.05,2.971254857,0.01013931
5,2.05,1.580844091,0.005394579
6,2.05,0.777226521,0.00265226
7,2.05,0.352512668,0.001202938
8,2.05,0.147293046,0.000502633
9,2.05,0.056619598,0.000193213
10,2.05,0.019993681,6.82E-05
11,2.05,0.00647599,2.21E-05
12,2.05,0.001921126,6.56E-06
13,2.05,0.000521216,1.78E-06
14,2.05,0.000129157,4.41E-07
15,2.05,2.92E-05,9.96E-08
16,2.05,6.02E-06,2.05E-08
17,2.05,1.13E-06,3.85E-09
18,2.05,1.93E-07,6.57E-10
19,2.05,2.99E-08,1.02E-10
20,2.05,4.21E-09,1.44E-11
21,2.05,5.38E-10,1.84E-12
22,2.05,6.29E-11,2.15E-13
23,2.05,7.56E-12,2.58E-14
24,2.05,1.42E-12,4.85E-15
25,2.05,6.25E-13,2.13E-15
26,2.05,8.53E-13,2.91E-15
27,2.05,5.68E-13,1.94E-15
28,2.05,3.98E-13,1.36E-15
29,2.05,9.09E-13,3.10E-15
30,2.05,1.19E-12,4.07E-15
