Window_type,energy_exact,error,error_rel,w
3,202.53490948359013,9.497849363953549,0.04689487549662685,1
3,202.53490948359013,0.15395423766298677,0.00076013679841924,2
3,202.53490948359013,0.0005578713184775097,2.7544452455131435e-6,3
3,202.53490948359013,2.6665812242754328e-6,1.3166032616670885e-8,4
3,202.53490948359013,2.1812837758261594e-8,1.0769915079765014e-10,5
3,202.53490948359013,1.227533630299149e-10,6.060849625523973e-13,6
3,202.53490948359013,1.5063505998114124e-12,7.43748622720006e-15,7
3,202.53490948359013,1.1652900866465643e-12,5.753527081418915e-15,8
3,202.53490948359013,1.5347723092418164e-12,7.577816156015156e-15,9
3,202.53490948359013,2.8705926524708048e-12,1.4173322810324642e-14,10
3,202.53490948359013,3.694822225952521e-13,1.824289074596241e-15,11
3,202.53490948359013,1.3642420526593924e-12,6.735836583124583e-15,12
