Window_type,energy_exact,error,error_rel,w
1,202.53490948359013,0.22369136176592974,0.0011044582997384643,1
1,202.53490948359013,0.0032639708528847677,1.611559637401286e-5,2
1,202.53490948359013,1.1930567950457771e-5,5.890622994760523e-8,3
1,202.53490948359013,1.01028660992597e-8,4.9882097486400284e-11,4
1,202.53490948359013,2.050200009762193e-9,1.0122699415076912e-11,5
1,202.53490948359013,3.240074875066057e-12,1.5997611884920885e-14,6
1,202.53490948359013,6.821210263296962e-13,3.3679182915622913e-15,7
1,202.53490948359013,1.0231815394945443e-12,5.051877437343437e-15,8
1,202.53490948359013,1.1368683772161603e-13,5.613197152603819e-16,9
1,202.53490948359013,9.094947017729282e-13,4.490557722083055e-15,10
1,202.53490948359013,2.5579538487363607e-13,1.2629693593358592e-15,11
1,202.53490948359013,2.8421709430404007e-13,1.4032992881509547e-15,12
