N_z,M_mid,E_exact,E_FFCT,abs_error,relative_error
3,1,166.05167919834435,93.38352363879241,72.66815555955193,0.24797770096566457
6,1,166.05167919834435,143.036537275321,23.01514192302335,0.07853841806666882
9,1,166.05167919834435,160.8568487724192,5.194830425925147,0.01772718869782946
12,1,166.05167919834435,164.47003753659655,1.5816416617477955,0.005397300371967085
15,1,166.05167919834435,165.65231796386263,0.39936123448171656,0.00136280713359276
18,1,166.05167919834435,165.96168340577074,0.08999579257360324,0.00030710769479619035
21,1,166.05167919834435,166.0375431135682,0.014136084776140478,4.823892634195628e-5
24,1,166.05167919834435,166.0481686596733,0.0035105386710370112,1.19795982448104e-5
27,1,166.05167919834435,166.0512594163459,0.00041978199843129005,1.4324923217908817e-6
30,1,166.05167919834435,166.05166484227405,1.4356070295207246e-5,4.898961972124827e-8
33,1,166.05167919834435,166.05167336218472,5.836159630234761e-6,1.991570360401153e-8
36,1,166.05167919834435,166.0516792501529,5.1808541456921375e-8,1.767949509925734e-10
39,1,166.05167919834435,166.0516792106773,1.233294710800692e-8,4.208577810218959e-11
42,1,166.05167919834435,166.0516792016904,3.3460594295320334e-9,1.1418318219868038e-11
45,1,166.05167919834435,166.05167919863604,2.9169200388423633e-10,9.953894103449929e-13
48,1,166.05167919834435,166.05167919832985,1.4495071809506044e-11,4.9463957836494825e-14
51,1,166.05167919834435,166.05167919834278,1.5631940186722204e-12,5.334348394131795e-15
54,1,166.05167919834435,166.0516791983443,5.684341886080802e-14,1.9397630524115618e-16
57,1,166.05167919834435,166.05167919834432,2.842170943040401e-14,9.698815262057809e-17
60,1,166.05167919834435,166.0516791983443,5.684341886080802e-14,1.9397630524115618e-16
3,2,132.8394786731502,78.92466042725667,53.91481824589354,0.1839825515543989
6,2,132.8394786731502,118.61802961365304,14.221449059497175,0.04853022916323166
9,2,132.8394786731502,130.48681043068174,2.352668242468468,0.008028403327564224
12,2,132.8394786731502,132.22660834249504,0.6128703306551699,0.0020913999318640858
15,2,132.8394786731502,132.72622120310453,0.11325747004568143,0.00038648740734997225
18,2,132.8394786731502,132.82106318910314,0.018415484047068276,6.284223620371768e-5
21,2,132.8394786731502,132.83721019570794,0.0022684774422714327,7.741104979139633e-6
24,2,132.8394786731502,132.83905945035198,0.00041922279822870223,1.4305840694133513e-6
27,2,132.8394786731502,132.83946091548728,1.7757662931217055e-5,6.059744318950981e-8
30,2,132.8394786731502,132.83947957818953,9.050393146026181e-7,3.088417021053697e-9
33,2,132.8394786731502,132.83947852535954,1.4779067214476527e-7,5.043308285511017e-10
36,2,132.8394786731502,132.83947868066426,7.51404627408192e-9,2.5641436825370573e-11
39,2,132.8394786731502,132.8394786740699,9.196980954584433e-10,3.1384396306492864e-12
42,2,132.8394786731502,132.83947867322675,7.653966349607799e-11,2.611890950072168e-13
45,2,132.8394786731502,132.83947867315587,5.6559201766503975e-12,1.930064237149504e-14
48,2,132.8394786731502,132.83947867314882,1.3926637620897964e-12,4.7524194784083265e-15
51,2,132.8394786731502,132.83947867314916,1.0516032489249483e-12,3.58856164696139e-15
54,2,132.8394786731502,132.83947867314913,1.0800249583553523e-12,3.685549799581968e-15
57,2,132.8394786731502,132.8394786731491,1.1084466677857563e-12,3.782537952202546e-15
60,2,132.8394786731502,132.83947867314916,1.0516032489249483e-12,3.58856164696139e-15
3,3,104.58856911741813,65.55823672798434,39.030332389433795,0.1331897310359804
6,3,104.58856911741813,96.21598266024799,8.372586457170144,0.02857117708297745
9,3,104.58856911741813,103.68391524023743,0.9046538771807064,0.003087101728474495
12,3,104.58856911741813,104.38007872661736,0.20849039080077603,0.0007114666305496108
15,3,104.58856911741813,104.56185652985774,0.026712587560396628,9.115583021290061e-5
18,3,104.58856911741813,104.58587155218761,0.002697565230519672,9.205353003916338e-6
21,3,104.58856911741813,104.58829483431845,0.0002742830996851353,9.359820949069844e-7
24,3,104.58856911741813,104.58852939550391,3.972191422008109e-5,1.3554973138376683e-7
27,3,104.58856911741813,104.5885696640305,5.466123695896385e-7,1.8652968096754663e-9
30,3,104.58856911741813,104.58856922036418,1.0294604635419091e-7,3.513000117017749e-10
33,3,104.58856911741813,104.58856911942496,2.0068284811713966e-9,6.8482364683863985e-12
