Nxy,M_mid,energy_exact,energy_ffct,error,error_rel
3,1,166.0516792,93.80986382,72.24181538,0.246522829
5,1,166.0516792,135.4652506,30.5864286,0.104375186
7,1,166.0516792,155.105003,10.94667617,0.037355174
9,1,166.0516792,163.9142001,2.137479059,0.007294077
11,1,166.0516792,165.560152,0.491527205,0.00167732
13,1,166.0516792,165.9552142,0.096465043,0.000329184
15,1,166.0516792,166.0385429,0.013136326,4.48E-05
17,1,166.0516792,166.0500849,0.001594291,5.44E-06
19,1,166.0516792,166.0515249,0.000154266,5.26E-07
21,1,166.0516792,166.0516687,1.05E-05,3.57E-08
23,1,166.0516792,166.0516784,7.90E-07,2.69E-09
25,1,166.0516792,166.0516792,2.79E-08,9.51E-11
27,1,166.0516792,166.0516792,1.19E-09,4.05E-12
29,1,166.0516792,166.0516792,3.40E-11,1.16E-13
31,1,166.0516792,166.0516792,8.24E-13,2.81E-15
33,1,166.0516792,166.0516792,1.14E-13,3.88E-16
3,3,104.5885691,72.82466433,31.76390479,0.108393285
5,3,104.5885691,96.00066769,8.587901429,0.029305932
7,3,104.5885691,102.7508413,1.837727852,0.006271186
9,3,104.5885691,104.4475878,0.140981313,0.000481094
11,3,104.5885691,104.5749112,0.013657963,4.66E-05
13,3,104.5885691,104.5876674,0.000901756,3.08E-06
15,3,104.5885691,104.5885387,3.05E-05,1.04E-07
17,3,104.5885691,104.5885682,8.98E-07,3.06E-09
19,3,104.5885691,104.5885691,1.60E-08,5.47E-11
21,3,104.5885691,104.5885691,1.56E-10,5.32E-13
23,3,104.5885691,104.5885691,2.91E-12,9.94E-15
25,3,104.5885691,104.5885691,1.22E-12,4.17E-15
27,3,104.5885691,104.5885691,1.21E-12,4.12E-15
29,3,104.5885691,104.5885691,1.24E-12,4.22E-15
31,3,104.5885691,104.5885691,1.22E-12,4.17E-15
33,3,104.5885691,104.5885691,1.22E-12,4.17E-15
3,5,60.8971554,50.06592291,10.83123249,0.036961226
5,5,60.8971554,59.50101177,1.396143634,0.004764294
7,5,60.8971554,60.77775819,0.11939721,0.000407439
9,5,60.8971554,60.89518277,0.001972629,6.73E-06
11,5,60.8971554,60.89711617,3.92E-05,1.34E-07
13,5,60.8971554,60.89715504,3.61E-07,1.23E-09
15,5,60.8971554,60.8971554,1.04E-09,3.56E-12
17,5,60.8971554,60.8971554,3.11E-12,1.06E-14
19,5,60.8971554,60.8971554,9.09E-13,3.10E-15
21,5,60.8971554,60.8971554,9.02E-13,3.08E-15
23,5,60.8971554,60.8971554,8.81E-13,3.01E-15
25,5,60.8971554,60.8971554,8.81E-13,3.01E-15
27,5,60.8971554,60.8971554,8.95E-13,3.06E-15
29,5,60.8971554,60.8971554,9.02E-13,3.08E-15
31,5,60.8971554,60.8971554,8.81E-13,3.01E-15
33,5,60.8971554,60.8971554,8.81E-13,3.01E-15
3,7,31.39401301,28.95854475,2.435468262,0.008310956
5,7,31.39401301,31.30205335,0.091959656,0.000313809
7,7,31.39401301,31.39266815,0.001344856,4.59E-06
9,7,31.39401301,31.39401133,1.68E-06,5.73E-09
11,7,31.39401301,31.39401301,1.74E-09,5.94E-12
13,7,31.39401301,31.39401301,7.21E-13,2.46E-15
15,7,31.39401301,31.39401301,2.91E-13,9.94E-16
17,7,31.39401301,31.39401301,2.81E-13,9.58E-16
19,7,31.39401301,31.39401301,2.98E-13,1.02E-15
21,7,31.39401301,31.39401301,2.88E-13,9.82E-16
23,7,31.39401301,31.39401301,2.95E-13,1.01E-15
25,7,31.39401301,31.39401301,2.81E-13,9.58E-16
27,7,31.39401301,31.39401301,2.98E-13,1.02E-15
29,7,31.39401301,31.39401301,2.88E-13,9.82E-16
31,7,31.39401301,31.39401301,2.95E-13,1.01E-15
33,7,31.39401301,31.39401301,2.81E-13,9.58E-16
3,9,13.41409578,13.1528636,0.261232183,0.000891446
5,9,13.41409578,13.41293309,0.001162691,3.97E-06
7,9,13.41409578,13.41409517,6.12E-07,2.09E-09
9,9,13.41409578,13.41409578,8.98E-12,3.06E-14
11,9,13.41409578,13.41409578,9.95E-14,3.39E-16
13,9,13.41409578,13.41409578,9.59E-14,3.27E-16
15,9,13.41409578,13.41409578,9.95E-14,3.39E-16
17,9,13.41409578,13.41409578,9.95E-14,3.39E-16
19,9,13.41409578,13.41409578,9.95E-14,3.39E-16
21,9,13.41409578,13.41409578,9.59E-14,3.27E-16
23,9,13.41409578,13.41409578,9.95E-14,3.39E-16
25,9,13.41409578,13.41409578,9.95E-14,3.39E-16
27,9,13.41409578,13.41409578,9.95E-14,3.39E-16
29,9,13.41409578,13.41409578,9.59E-14,3.27E-16
31,9,13.41409578,13.41409578,9.95E-14,3.39E-16
33,9,13.41409578,13.41409578,9.95E-14,3.39E-16
