Nxy,gamma,E_exact,E_thin,error_rel
16,100,279.15475971718234,183.42218469862706,0.3428999277191775
23,100,279.15475971718234,236.49467370972587,0.15280211992224627
32,100,279.15475971718234,259.16618658618995,0.07159611324043356
46,100,279.15475971718234,275.3341364117078,0.013684907723786839
64,100,279.15475971718234,278.8303664067301,0.0011619288699285663
91,100,279.15475971718234,279.1520569869242,9.680780131314961e-6
128,100,279.15475971718234,279.15475912015347,2.138469138724395e-9
182,100,279.15475971718234,279.1547597171734,3.1965941182924797e-14
256,100,279.15475971718234,279.1547597171826,1.0180236045517452e-15
363,100,279.15475971718234,279.1547597171816,2.6468613718345374e-15
512,100,279.15475971718234,279.1547597171794,1.058744548733815e-14
725,100,279.15475971718234,279.15475971718996,2.728303260198677e-14
1024,100,279.15475971718234,279.1547597171782,1.486314462645548e-14
16,500,295.955350846526,198.30270988965088,0.3299567562815461
23,500,295.955350846526,250.74274865061886,0.15276805027933174
32,500,295.955350846526,272.32178745037675,0.07985502328617441
46,500,295.955350846526,291.82905567591206,0.013942264711071649
64,500,295.955350846526,295.6562166557496,0.0010107391496466341
91,500,295.955350846526,295.95173392215474,1.2221160857161323e-5
128,500,295.955350846526,295.95535714402473,2.127850540613756e-8
182,500,295.955350846526,295.9553508465209,1.7286048720785247e-14
256,500,295.955350846526,295.955350846526,0.0
363,500,295.955350846526,295.9553508465252,2.6889409121221495e-15
512,500,295.955350846526,295.9553508465225,1.1908166896540948e-14
725,500,295.955350846526,295.95535084653517,3.092282048940472e-14
1024,500,295.955350846526,295.95535084652187,1.4020906184636922e-14
16,1000,258.7378007882928,157.31364283180986,0.3919944088993126
23,1000,258.7378007882928,209.43907352688143,0.19053473887963548
32,1000,258.7378007882928,240.36494753655128,0.0710092732867484
46,1000,258.7378007882928,254.67210775041187,0.015713504270195647
64,1000,258.7378007882928,258.4427591073484,0.0011403071186657518
91,1000,258.7378007882928,258.736590803291,4.676473190634018e-6
128,1000,258.7378007882928,258.7378019598979,4.528138663875122e-9
182,1000,258.7378007882928,258.73780078827957,5.118875579792842e-14
256,1000,258.7378007882928,258.73780078829265,6.5908269267719e-16
363,1000,258.7378007882928,258.737800788293,6.5908269267719e-16
512,1000,258.7378007882928,258.7378007882914,5.4923557723099164e-15
725,1000,258.7378007882928,258.7378007882992,2.4605753859948424e-14
1024,1000,258.7378007882928,258.73780078829,1.0984711544619833e-14
