R_z,gamma,E_exact,E_thin,error_rel
1,100,279.15475971718234,276.90155648334087,0.008070640801953837
2,100,279.15475971718234,277.93474177417227,0.004369923867535894
3,100,279.15475971718234,279.1267859317212,0.0001001979630318977
4,100,279.15475971718234,279.1562052427552,5.177658851852838e-6
5,100,279.15475971718234,279.1548068840265,1.6894466129265697e-7
6,100,279.15475971718234,279.15475737068573,8.404803897202813e-9
7,100,279.15475971718234,279.15475966395775,1.9064263356303347e-10
8,100,279.15475971718234,279.1547597193804,7.873190952882286e-12
9,100,279.15475971718234,279.1547597173254,5.124730825313485e-13
10,100,279.15475971718234,279.15475971716364,6.698595317950484e-14
11,100,279.15475971718234,279.15475971718155,2.8504660927448864e-15
12,100,279.15475971718234,279.1547597171825,6.108141627310471e-16
13,100,279.15475971718234,279.1547597171825,6.108141627310471e-16
14,100,279.15475971718234,279.1547597171825,6.108141627310471e-16
15,100,279.15475971718234,279.15475971718246,4.072094418206981e-16
16,100,279.15475971718234,279.1547597171826,1.0180236045517452e-15
1,500,295.955350846526,295.8528787753728,0.0003462410424936521
2,500,295.955350846526,295.8972097365309,0.00019645195329709753
3,500,295.955350846526,295.9553116810861,1.323354022535004e-7
4,500,295.955350846526,295.9553535541972,9.148901536542444e-9
5,500,295.955350846526,295.95535084755363,3.47219098638173e-12
6,500,295.955350846526,295.95535084653227,2.1127392880959744e-14
7,500,295.955350846526,295.9553508465253,2.4968737041134245e-15
8,500,295.955350846526,295.955350846526,0.0
9,500,295.955350846526,295.9553508465261,1.9206720800872495e-16
10,500,295.955350846526,295.9553508465259,3.841344160174499e-16
11,500,295.955350846526,295.955350846526,0.0
12,500,295.955350846526,295.955350846526,0.0
13,500,295.955350846526,295.9553508465261,1.9206720800872495e-16
14,500,295.955350846526,295.95535084652613,3.841344160174499e-16
15,500,295.955350846526,295.95535084652585,5.762016240261749e-16
16,500,295.955350846526,295.955350846526,0.0
1,1000,258.7378007882928,258.7115570874754,0.00010142932607503494
2,1000,258.7378007882928,258.7259318293611,4.587236053444192e-5
3,1000,258.7378007882928,258.73779770893674,1.1901408790912602e-8
4,1000,258.7378007882928,258.737800990908,7.830877831390178e-10
5,1000,258.7378007882928,258.7378007883302,1.44558803927197e-13
6,1000,258.7378007882928,258.73780078829157,4.833273079632726e-15
7,1000,258.7378007882928,258.7378007882926,8.787769235695866e-16
8,1000,258.7378007882928,258.7378007882926,8.787769235695866e-16
9,1000,258.7378007882928,258.7378007882926,8.787769235695866e-16
10,1000,258.7378007882928,258.7378007882926,8.787769235695866e-16
11,1000,258.7378007882928,258.73780078829276,2.1969423089239666e-16
12,1000,258.7378007882928,258.73780078829253,1.0984711544619833e-15
13,1000,258.7378007882928,258.7378007882927,4.393884617847933e-16
14,1000,258.7378007882928,258.7378007882925,1.31816538535438e-15
15,1000,258.7378007882928,258.7378007882926,8.787769235695866e-16
16,1000,258.7378007882928,258.73780078829265,6.5908269267719e-16
