TaylorQ,E_exact,E_thin,error_rel
1,279.1547597171813,279.5162850227816,0.0012949301858320252
2,279.1547597171813,279.1359603386654,6.733659397561088e-5
3,279.1547597171813,279.1556434343537,3.165344235977139e-6
4,279.1547597171813,279.1547203739972,1.409214679099975e-7
5,279.1547597171813,279.1547613076326,5.696761342780811e-9
6,279.1547597171813,279.15475965979357,2.0555443971774636e-10
7,279.1547597171813,279.1547597190322,6.629573317560579e-12
8,279.1547597171813,279.1547597171287,1.8853797156294635e-13
9,279.1547597171813,279.15475971718416,1.0180236045515462e-14
10,279.1547597171813,279.1547597171824,3.8684896972958755e-15
11,279.1547597171813,279.15475971718257,4.479303860026803e-15
12,279.1547597171813,279.15475971718257,4.479303860026803e-15
13,279.1547597171813,279.1547597171826,4.682908580937113e-15
14,279.1547597171813,279.1547597171826,4.682908580937113e-15
15,279.1547597171813,279.1547597171826,4.682908580937113e-15
16,279.1547597171813,279.1547597171826,4.682908580937113e-15
