n_atoms,energy_ewald,energy_fssog,error,error_rel
1000,-10.678361090503806,-10.678361090510954,7.148059921746608e-12,6.69396723070484e-13
3164,-14.834028792154413,-14.834028792131939,2.247446673209197e-11,1.5150615552248703e-12
10000,-41.05993976998465,-41.05993976998326,1.3926637620897964e-12,3.391782281930797e-14
31624,-20.628480196981968,-20.628480196799615,1.823536877054721e-10,8.83989930252599e-12
100000,-218.91251331880585,-218.91251331842022,3.8562575355172157e-10,1.7615518990005313e-12
1000,-10.678361090503806,-10.678361090775933,2.7212720965508197e-10,2.548398647963711e-11
3164,-14.834028792154413,-14.83402879227252,1.1810641353804385e-10,7.961856835582609e-12
1000,-10.678361090503806,-10.67836109052843,2.4623858507766272e-11,2.3059585922472788e-12
3164,-14.834028792154413,-14.834028792168176,1.376321279167314e-11,9.27813541723229e-13
1000,-10.678361090503806,-10.67836109046026,4.354561156105774e-11,4.07793023592193e-12
3164,-14.834028792154413,-14.834028792147699,6.714628852932947e-12,4.526503856109714e-13
10000,-41.05993976998465,-41.05993976997985,4.803268893738277e-12,1.169818787033275e-13
31624,-20.628480196981968,-20.628480196761416,2.205524651799351e-10,1.0691648782356872e-11
1000,-10.678361090503806,-10.678361090510954,7.148059921746608e-12,6.69396723070484e-13
3164,-14.834028792154413,-14.834028792131939,2.247446673209197e-11,1.5150615552248703e-12
10000,-41.05993976998465,-41.05993976998326,1.3926637620897964e-12,3.391782281930797e-14
31624,-20.628480196981968,-20.628480196799615,1.823536877054721e-10,8.83989930252599e-12
100000,-218.91251331880585,-218.91251331842022,3.8562575355172157e-10,1.7615518990005313e-12
1000,-10.678361090503806,-10.678361090361612,1.4219381228031125e-10,1.331607079730271e-11
3164,-14.834028792154413,-14.834028792364784,2.1037038777649286e-10,1.418160843045929e-11
10000,-41.05993976998465,-41.05993977015234,1.6768808563938364e-10,4.08398274763096e-12
31624,-20.628480196981968,-20.62848019700141,1.944044925039634e-11,9.424082174139304e-13
1000,-10.678361090503806,-10.678361090508751,4.945377440890297e-12,4.631213909115873e-13
3164,-14.834028792154413,-14.834028792138106,1.63069557856943e-11,1.0992937936266447e-12
10000,-41.05993976998465,-41.0599397699923,7.645439836778678e-12,1.8620192527334377e-13
31624,-20.628480196981968,-20.628480196803594,1.7837464838521555e-10,8.647008731710273e-12
1000,-10.678361090503806,-10.678361090493883,9.922729304889799e-12,9.29237101160965e-13
3164,-14.834028792154413,-14.834028792167047,1.2633449841814581e-11,8.516533181124943e-13
10000,-41.05993976998465,-41.05993977001904,3.439026841078885e-11,8.375625634971969e-13
31624,-20.628480196981968,-20.62848019683213,1.4983925211708993e-10,7.263707781003277e-12
1000,-10.678361090503806,-10.678361090919203,4.1539749418006977e-10,3.890086602797876e-11
3164,-14.834028792154413,-14.834028792490315,3.3590197290322976e-10,2.2644015163357734e-11
