w,M_mid,abs_error,rel_error
1,3,0.19675729874278858,0.0032902467685335664
2,3,0.001254652372594478,2.0980751112864393e-5
3,3,7.434119950744389e-6,1.2431604469627907e-7
4,3,1.8339648022447363e-8,3.066822325141931e-10
5,3,1.6892442999960622e-10,2.82481546292803e-12
6,3,7.150902092689648e-11,1.1957997315936607e-12
7,3,2.163602630389505e-11,3.6180546330511695e-13
8,3,9.606537787476555e-12,1.606440020980355e-13
9,3,7.460698725481052e-12,1.2476050458797135e-13
10,3,8.483880264975596e-12,1.418705166457503e-13
11,3,9.670486633694964e-12,1.617133778516467e-13
12,3,1.1340262062731199e-11,1.8963596697371648e-13
13,3,1.2541079286165768e-11,2.0971646723597092e-13
14,3,1.34718902700115e-11,2.2528182542742258e-13
15,3,1.411137873219559e-11,2.359755829635344e-13
16,3,1.4566126083082054e-11,2.435800327669917e-13
1,9,0.517848880778871,0.0040647800273054795
2,9,0.002978124972543128,2.3376362017053732e-5
3,9,2.1965334099149914e-5,1.7241371885370982e-7
4,9,1.1466286764516553e-7,9.000296255862011e-10
5,9,1.5704415545769734e-10,1.2326954256411528e-12
6,9,7.334222118515754e-11,5.75689176702017e-13
7,9,2.1685764295398258e-11,1.702192760409374e-13
8,9,1.0061285138363019e-11,7.897460513563806e-14
9,9,7.51754214434186e-12,5.90078617468256e-14
10,9,8.952838470577262e-12,7.027401304442369e-14
11,9,9.634959496906959e-12,7.562822356209407e-14
12,9,1.1453948900452815e-11,8.990611827588175e-14
13,9,1.2676082405960187e-11,9.949907878670784e-14
14,9,1.340083599643549e-11,1.0518792746173261e-13
15,9,1.4054535313334782e-11,1.1031904587450005e-13
16,9,1.4637180356658064e-11,1.1489243402501018e-13
1,15,0.684052584016996,0.004233751785525621
2,15,0.00019912075114802974,1.2324020921865677e-6
3,15,2.8135714529753386e-5,1.7413812097290888e-7
4,15,1.2036929319947376e-7,7.449920107210166e-10
5,15,1.032162799674552e-9,6.3882824188946895e-12
6,15,7.742073648842052e-11,4.791739538789826e-13
7,15,2.1941559680271894e-11,1.3580113524029906e-13
8,15,1.0402345651527867e-11,6.438240349475318e-14
9,15,7.58859641791787e-12,4.696749107404125e-14
10,15,9.606537787476555e-12,5.945697371919829e-14
11,15,9.919176591210999e-12,6.139196398816628e-14
12,15,1.1567635738174431e-11,7.159463995181569e-14
13,15,1.3073986337985843e-11,8.091777488411602e-14
14,15,1.3528733688872308e-11,8.373230618443309e-14
15,15,1.4097167877480388e-11,8.725047030982945e-14
16,15,1.4864554032101296e-11,9.199999187911451e-14
1,17,0.4595771617175046,0.002737762955956493
2,17,0.03949529343435643,0.0002352787742870432
3,17,0.003065994544641626,1.8264541815165718e-5
4,17,0.00012473026396264686,7.430349560614451e-7
5,17,2.738847911132325e-6,1.6315685324907433e-8
6,17,3.134690018669062e-8,1.8673769992064966e-10
7,17,1.6194690033444203e-10,9.647394637946522e-13
8,17,1.000444171950221e-11,5.959780471318315e-14
9,17,7.901235221652314e-12,4.706872076779806e-14
10,17,1.000444171950221e-11,5.959780471318315e-14
11,17,1.0118128557223827e-11,6.027505249401478e-14
12,17,1.1766587704187259e-11,7.009514531607336e-14
13,17,1.3386625141720288e-11,7.974592619292405e-14
14,17,1.3699263945454732e-11,8.160835759021102e-14
15,17,1.432454155292362e-11,8.533322038478497e-14
16,17,1.5262457964126952e-11,9.092051457664589e-14
1,19,0.08716822669617841,0.0005085175873743958
2,19,0.1703484417372465,0.0009937701142773185
3,19,0.03083481205527505,0.00017988256533132892
4,19,0.004104352120634758,2.3943761588666976e-5
5,19,0.00039774108151391374,2.3203217827993925e-6
6,19,2.7312949811175713e-5,1.593369036916057e-7
7,19,1.2995488134492916e-6,7.581242068785424e-9
8,19,4.213018200971419e-8,2.4577692266123947e-10
9,19,9.135021628026152e-10,5.329142664663662e-12
10,19,3.609557097661309e-12,2.1057251436242962e-14
11,19,1.000444171950221e-11,5.836340555557105e-14
12,19,1.1766587704187259e-11,6.864332357956367e-14
13,19,1.3415046851150692e-11,7.826002108587936e-14
14,19,1.3670842236024328e-11,7.975226725065248e-14
15,19,1.4239276424632408e-11,8.30683698390372e-14
16,19,1.5205614545266144e-11,8.870574423929122e-14
1,21,0.16536749823865193,0.0009567074441177992
2,21,0.330504275702566,0.0019120800897712363
3,21,0.10107349592104242,0.0005847446867166174
4,21,0.02748771457629573,0.0001590258148489109
5,21,0.006490853599530055,3.755180445668595e-5
6,21,0.00129471704332218,7.4903801929985236e-6
7,21,0.00021381225073469068,1.2369768793759764e-6
8,21,2.880128553783834e-5,1.6662527139672154e-7
9,21,3.129198574924885e-6,1.8103482260057023e-8
10,21,2.719522456118284e-7,1.5733366023709718e-9
11,21,1.8790586864270153e-8,1.0870996129145974e-10
12,21,1.0181224752159324e-9,5.8901861698180715e-12
13,21,3.12070369545836e-11,1.8054336481659994e-13
14,21,1.2192913345643319e-11,7.054016712779724e-14
15,21,1.41824330057716e-11,8.205021770809049e-14
16,21,1.56035184772918e-11,9.027168240829997e-14
