preset,n_atoms,t_short,t_mid,t_long,t_total
2,1000,0.003580529,0.007403927,0.000129336,0.011113792
2,3164,0.012171764,0.021466075,0.000434123,0.034071962000000004
2,10000,0.041022741,0.060512565,0.001420154,0.10295546
2,31624,0.135818282,0.190791545,0.00455582,0.331165647
2,100000,0.443803447,0.615369617,0.014446278,1.0736193420000002
4,1000,0.005556455,0.019095301,0.001217372,0.025869127999999998
4,3164,0.018772568,0.059470439,0.00388924,0.082132247
4,10000,0.062906744,0.185937058,0.012354894,0.261198696
4,31624,0.207216493,0.612122836,0.039125888,0.858465217
4,100000,0.674767996,1.991790213,0.145443572,2.812001781
6,1000,0.009005961,0.045833073,0.005248688,0.060087722
6,3164,0.030183169,0.143515607,0.01664304,0.190341816
6,10000,0.101156472,0.44619443,0.052822134,0.600173036
6,31624,0.331877198,1.415520992,0.17225572,1.91965391
6,100000,1.078342913,4.494010061,0.564242648,6.136595622
